stop,wait_time_sec,stop_lat,stop_lon
386,147.1,41.880313,-87.774043
388,149.1,41.88000915,-87.7714723
389,149.1,41.88008776,-87.76992191
390,149.4,41.88010476,-87.76821491
391,149.4,41.88014676,-87.76661691
14956,146.7,41.88014099,-87.76461188
393,148.2,41.88018349,-87.7632177
394,147.7,41.88020276,-87.76191891
395,148.0,41.88019981,-87.75996715
396,147.5,41.88025187,-87.75778965
397,146.1,41.88027,-87.75526
17169,146.6,41.88029685,-87.75221539
17162,146.1,41.88033514,-87.7491367
14959,144.9,41.88039237,-87.74496781
402,148.7,41.880443,-87.742998
403,149.0,41.880475,-87.740705
17163,148.2,41.88048501,-87.73768052
15848,148.3,41.88050398,-87.7352163
406,148.1,41.88053063,-87.7331241
14500,147.8,41.88056848,-87.7304601
15852,148.7,41.88059058,-87.72786002
409,146.7,41.88061422,-87.72582347
18047,150.4,41.88070328,-87.72286077
17841,150.2,41.88074353,-87.72045859
412,151.9,41.8808072,-87.7159745
413,151.5,41.88081388,-87.71381964
14764,150.5,41.88084064,-87.71073049
415,151.2,41.880887,-87.708722
416,148.7,41.880902,-87.706333
417,150.4,41.880952,-87.703147
15185,148.8,41.88095403,-87.70088084
16110,149.1,41.88099888,-87.69856203
420,147.9,41.88100858,-87.69600765
421,149.9,41.88103245,-87.694048
16088,149.8,41.88103301,-87.69229365
423,149.3,41.88106252,-87.68897646
15364,145.1,41.88109893,-87.68607651
425,146.2,41.88112797,-87.68410996
15384,145.6,41.88117403,-87.68122249
427,145.5,41.881232,-87.679293
428,145.5,41.881262,-87.67685
429,147.2,41.88129674,-87.67424663
430,147.2,41.8813284,-87.67186305
431,146.6,41.88137,-87.669513
4727,145.3,41.881385,-87.668503
432,144.7,41.88139461,-87.66699977
15279,145.7,41.88143358,-87.66418871
16049,144.3,41.88146881,-87.66201484
435,143.5,41.881525,-87.659765
436,144.0,41.881545,-87.657333
437,146.3,41.881608,-87.654897
14647,147.9,41.88165169,-87.65191235
439,149.6,41.88167775,-87.64983775
440,147.4,41.882,-87.64728
12754,149.8,41.8830708,-87.64669495
442,146.9,41.88311,-87.642848
443,145.8,41.883084,-87.639976
445,144.2,41.883128,-87.635516
446,143.1,41.883137,-87.632625
18122,142.8,41.88314707,-87.63019604
448,144.3,41.88316957,-87.62749695
1119,141.7,41.88468794,-87.62431755
1120,142.1,41.88669974,-87.624384
1121,142.0,41.888076,-87.624425
3953,141.4,41.887978,-87.621979
3954,141.3,41.887792,-87.620967
8613,141.5,41.884688,-87.620796
