version,tripno,blockno,patternid,route,veh_type,direction,timepointid,runid,schd_time,monday,tuesday,wednesday,thursday,friday,saturday,sunday
651,3433020,2774,16551,81,STANDARD,4.0,WilMd,F140,10800,1,1,1,1,1,0,0
651,3433020,2774,16551,81,STANDARD,4.0,WilBwy,F140,11130,1,1,1,1,1,0,0
651,3433020,2774,16551,81,STANDARD,4.0,LawWes,F140,11610,1,1,1,1,1,0,0
651,3433020,2774,16551,81,STANDARD,4.0,LawKim,F140,11910,1,1,1,1,1,0,0
651,3433020,2774,16551,81,STANDARD,4.0,LawPul,F140,12150,1,1,1,1,1,0,0
651,3433020,2774,16551,81,STANDARD,4.0,LawCic,F140,12330,1,1,1,1,1,0,0
651,3433020,2774,16551,81,STANDARD,4.0,JpkBlu,F140,12450,1,1,1,1,1,0,0
651,35380020,2777,16550,81,STANDARD,3.0,JpkBlu,F139,10920,1,1,1,1,1,0,0
651,35380020,2777,16550,81,STANDARD,3.0,LawCic,F139,11100,1,1,1,1,1,0,0
651,35380020,2777,16550,81,STANDARD,3.0,LawPul,F139,11340,1,1,1,1,1,0,0
651,35380020,2777,16550,81,STANDARD,3.0,LawKim,F139,11580,1,1,1,1,1,0,0
651,35380020,2777,16550,81,STANDARD,3.0,LawWes,F139,11880,1,1,1,1,1,0,0
651,35380020,2777,16550,81,STANDARD,3.0,WilBwy,F139,12390,1,1,1,1,1,0,0
651,35380020,2777,16550,81,STANDARD,3.0,WilMd,F139,12600,1,1,1,1,1,0,0
651,34922020,2775,16550,81,STANDARD,3.0,JpkBlu,F102,12000,1,1,1,1,1,0,0
651,34922020,2775,16550,81,STANDARD,3.0,LawCic,F102,12180,1,1,1,1,1,0,0
651,34922020,2775,16550,81,STANDARD,3.0,LawPul,F102,12450,1,1,1,1,1,0,0
651,34922020,2775,16550,81,STANDARD,3.0,LawKim,F102,12720,1,1,1,1,1,0,0
651,34922020,2775,16550,81,STANDARD,3.0,LawWes,F102,13050,1,1,1,1,1,0,0
651,34922020,2775,16550,81,STANDARD,3.0,WilBwy,F102,13590,1,1,1,1,1,0,0
651,34922020,2775,16550,81,STANDARD,3.0,WilMd,F102,13830,1,1,1,1,1,0,0
651,17404020,2777,16551,81,STANDARD,4.0,WilMd,F139,12600,1,1,1,1,1,0,0
651,17404020,2777,16551,81,STANDARD,4.0,WilBwy,F139,12930,1,1,1,1,1,0,0
651,17404020,2777,16551,81,STANDARD,4.0,LawWes,F139,13440,1,1,1,1,1,0,0
651,17404020,2777,16551,81,STANDARD,4.0,LawKim,F139,13770,1,1,1,1,1,0,0
651,17404020,2777,16551,81,STANDARD,4.0,LawPul,F139,14040,1,1,1,1,1,0,0
651,17404020,2777,16551,81,STANDARD,4.0,LawCic,F139,14280,1,1,1,1,1,0,0
651,17404020,2777,16551,81,STANDARD,4.0,JpkBlu,F139,14430,1,1,1,1,1,0,0
651,42744010,3877,16550,81,STANDARD,3.0,JpkBlu,F101,12750,0,0,0,0,0,0,1
651,42744010,3877,16550,81,STANDARD,3.0,LawCic,F101,12930,0,0,0,0,0,0,1
651,42744010,3877,16550,81,STANDARD,3.0,LawPul,F101,13170,0,0,0,0,0,0,1
651,42744010,3877,16550,81,STANDARD,3.0,LawKim,F101,13350,0,0,0,0,0,0,1
651,42744010,3877,16550,81,STANDARD,3.0,LawWes,F101,13710,0,0,0,0,0,0,1
651,42744010,3877,16550,81,STANDARD,3.0,WilBwy,F101,14130,0,0,0,0,0,0,1
651,42744010,3877,16550,81,STANDARD,3.0,WilMd,F101,14400,0,0,0,0,0,0,1
651,21779020,2774,16550,81,STANDARD,3.0,JpkBlu,F140,13080,1,1,1,1,1,0,0
651,21779020,2774,16550,81,STANDARD,3.0,LawCic,F140,13290,1,1,1,1,1,0,0
651,21779020,2774,16550,81,STANDARD,3.0,LawPul,F140,13560,1,1,1,1,1,0,0
651,21779020,2774,16550,81,STANDARD,3.0,LawKim,F140,13830,1,1,1,1,1,0,0
651,21779020,2774,16550,81,STANDARD,3.0,LawWes,F140,14220,1,1,1,1,1,0,0
651,21779020,2774,16550,81,STANDARD,3.0,WilBwy,F140,14790,1,1,1,1,1,0,0
651,21779020,2774,16550,81,STANDARD,3.0,WilMd,F140,15060,1,1,1,1,1,0,0
651,881020,2775,16551,81,STANDARD,4.0,WilMd,F102,14040,1,1,1,1,1,0,0
651,881020,2775,16551,81,STANDARD,4.0,WilBwy,F102,14400,1,1,1,1,1,0,0
651,881020,2775,16551,81,STANDARD,4.0,LawWes,F102,14940,1,1,1,1,1,0,0
651,881020,2775,16551,81,STANDARD,4.0,LawKim,F102,15300,1,1,1,1,1,0,0
651,881020,2775,16551,81,STANDARD,4.0,LawPul,F102,15600,1,1,1,1,1,0,0
651,881020,2775,16551,81,STANDARD,4.0,LawCic,F102,15900,1,1,1,1,1,0,0
651,881020,2775,16551,81,STANDARD,4.0,JpkBlu,F102,16080,1,1,1,1,1,0,0
651,3950020,2734,16550,81,STANDARD,3.0,JpkBlu,F101,14160,1,1,1,1,1,0,0
651,3950020,2734,16550,81,STANDARD,3.0,LawCic,F101,14370,1,1,1,1,1,0,0
651,3950020,2734,16550,81,STANDARD,3.0,LawPul,F101,14670,1,1,1,1,1,0,0
651,3950020,2734,16550,81,STANDARD,3.0,LawKim,F101,14970,1,1,1,1,1,0,0
