block_id,trip_id,direction,schd_sec,schd_time,day1,day2,day3,day4,rep1,rep2,rep3,rep4
882902,911849020,out_short,24240.0,6:44:00,6:46:01,,6:43:41,6:44:49,6:44:31,6:44:04,6:45:16,6:44:00
882902,911849020,out_short,24960.0,6:56:00,7:00:59,,6:59:52,7:00:40,6:59:50,6:54:25,6:55:26,6:58:57
882902,911853020,in,25140.0,6:59:00,7:03:09,,7:00:38,7:01:16,6:59:53,6:59:23,6:59:50,6:59:05
882902,911853020,in,28860.0,8:01:00,8:07:12,,8:07:09,8:10:29,7:57:53,7:58:45,8:05:37,8:02:26
882902,911850020,out_long,29370.0,8:09:30,8:10:17,,8:09:02,8:11:33,8:09:30,8:09:30,8:09:30,8:09:30
882902,911850020,out_long,31530.0,8:45:30,,,,,9:14:36,9:04:55,9:02:57,9:17:58
887302,911367020,out_short,23580.0,6:33:00,6:32:45,6:32:13,6:34:00,6:31:49,6:33:00,6:34:17,6:33:00,6:33:41
887302,911367020,out_short,24300.0,6:45:00,6:43:28,6:45:55,6:45:59,6:45:37,6:44:45,6:49:21,6:48:14,6:45:04
887302,911364020,in,24480.0,6:48:00,6:49:28,6:49:39,6:48:40,6:47:53,6:48:06,6:49:23,6:48:17,6:48:08
887302,911364020,in,27810.0,7:43:30,7:55:39,7:52:22,7:52:46,7:56:44,7:51:47,7:53:50,7:46:40,7:46:05
887302,911369020,out_long,28320.0,7:52:00,7:55:50,7:52:47,7:53:01,7:57:10,7:52:00,7:53:57,7:52:00,7:52:00
887302,911369020,out_long,31320.0,8:42:00,8:52:39,8:44:20,8:46:41,8:57:39,8:47:37,8:52:03,8:44:09,8:48:45
887302,911370020,in,32100.0,8:55:00,8:56:03,8:51:56,,8:57:50,8:55:50,8:55:50,8:55:50,8:55:50
887302,911370020,in,35280.0,9:48:00,9:51:45,9:55:26,10:00:44,9:55:52,,,,
887702,911971020,out_short,27840.0,7:44:00,,7:44:25,7:45:26,7:44:13,7:44:59,7:44:00,7:44:44,7:44:00
887702,911971020,out_short,28680.0,7:58:00,,8:01:24,7:57:22,7:57:57,7:58:00,7:56:41,8:03:26,8:00:56
887702,911972020,in,28860.0,8:01:00,,8:01:59,8:01:12,8:00:22,8:01:50,8:01:50,8:03:31,8:01:50
887702,911972020,in,32580.0,9:03:00,,9:25:20,,9:03:15,9:12:11,9:11:21,9:18:55,9:12:28
887702,911973020,out_long,33090.0,9:11:30,,9:25:36,9:23:29,9:11:22,9:12:11,9:11:30,9:18:55,9:12:28
887702,911973020,out_long,35250.0,9:47:30,,,,,,,,
887802,911951020,out_short,28500.0,7:55:00,7:59:21,7:56:24,7:55:07,7:54:48,7:55:00,7:55:00,7:55:00,7:56:15
887802,911951020,out_short,29340.0,8:09:00,8:11:53,8:07:46,8:11:30,8:08:51,8:05:06,8:10:14,8:09:56,8:10:38
887802,911953020,in,29520.0,8:12:00,8:12:48,8:12:43,8:13:14,8:11:26,8:12:50,8:12:50,8:12:50,8:12:50
887802,911953020,in,33240.0,9:14:00,9:26:57,9:24:46,9:23:59,9:20:58,9:24:23,9:22:13,9:20:24,9:23:59
887802,911954020,out_long,33750.0,9:22:30,9:27:07,9:25:02,9:26:51,9:23:26,,,,
887802,911954020,out_long,36750.0,10:12:30,10:20:30,10:23:04,10:22:49,10:22:51,,,,
887902,910529020,out_short,27300.0,7:35:00,,7:38:50,7:37:03,7:36:40,7:35:41,7:36:06,7:35:00,7:35:05
