service_id,date,exception_type
1904,20191114,1
1904,20191115,1
1906,20191116,1
1912,20191114,1
1912,20191115,1
1913,20191117,1
62601,20191128,2
62602,20191128,2
62603,20191128,2
62604,20191129,2
62605,20191128,2
62606,20191128,2
62607,20191129,2
62608,20191129,2
62609,20191128,1
62610,20191129,2
62611,20191128,2
62612,20191129,2
62613,20191128,2
62614,20191129,2
62615,20191129,1
62616,20191128,2
62617,20191129,2
62618,20191128,2
62619,20191129,2
62620,20191128,2
62621,20191129,2
62622,20191128,2
62623,20191129,2
62624,20191128,2
62625,20191129,2
62626,20191128,2
62627,20191129,2
62628,20191128,2
62629,20191129,2
62630,20191128,2
62631,20191129,2
62632,20191128,2
62633,20191129,2
62634,20191128,2
62635,20191129,2
62636,20191128,2
62637,20191129,2
62638,20191129,1
62639,20191129,1
62640,20191128,1
62641,20191128,2
62642,20191129,2
105901,20191128,2
105902,20191128,2
105903,20191128,2
105904,20191129,2
105905,20191128,2
105906,20191128,2
105907,20191129,2
105908,20191129,2
105909,20191128,1
105910,20191129,2
105911,20191128,2
105912,20191129,2
105913,20191128,2
105914,20191129,2
105915,20191129,1
105916,20191128,2
105917,20191129,2
105918,20191128,2
105919,20191129,2
105920,20191128,2
105921,20191129,2
105922,20191128,2
105923,20191129,2
105924,20191128,2
105925,20191129,2
105926,20191128,2
105927,20191129,2
105928,20191128,2
105929,20191129,2
105930,20191128,2
105931,20191129,2
105932,20191128,2
105933,20191129,2
105934,20191128,2
105935,20191129,2
105936,20191128,2
105937,20191129,2
105938,20191129,1
105939,20191129,1
105940,20191128,1
105941,20191128,2
105942,20191129,2
205901,20191128,2
