service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1904,0,0,0,0,0,0,0,20190903,20191130
1906,0,0,0,0,0,0,0,20190903,20191130
1912,0,0,0,0,0,0,0,20190903,20191130
1913,0,0,0,0,0,0,0,20190903,20191130
62601,1,1,1,1,1,0,0,20190903,20191130
62602,1,1,1,1,0,0,0,20190903,20191130
62603,0,1,1,1,1,0,0,20190903,20191130
62604,0,1,1,1,1,0,0,20190903,20191130
62605,0,0,0,0,1,0,0,20190903,20191130
62606,0,0,0,0,0,1,0,20190903,20191130
62607,0,0,0,0,0,1,0,20190903,20191130
62608,0,0,0,0,0,0,1,20190903,20191130
62609,0,0,0,0,0,0,1,20190903,20191130
62610,0,0,1,1,1,1,0,20190903,20191130
62611,0,1,1,1,1,1,0,20190903,20191130
62612,0,1,1,1,1,1,0,20190903,20191130
62613,1,0,0,0,0,0,0,20190903,20191130
62614,1,0,0,0,0,0,0,20190903,20191130
62615,1,0,0,0,0,0,0,20190903,20191130
62616,0,1,0,0,0,0,0,20190903,20191130
62617,0,1,0,0,0,0,0,20190903,20191130
62618,1,0,1,1,1,0,0,20190903,20191130
62619,1,0,1,1,1,0,0,20190903,20191130
62620,0,0,1,0,0,0,0,20190903,20191130
62621,0,0,1,0,0,0,0,20190903,20191130
62622,1,1,0,1,1,0,0,20190903,20191130
62623,1,1,0,1,1,0,0,20190903,20191130
62624,0,0,0,1,0,0,0,20190903,20191130
62625,0,0,0,1,0,0,0,20190903,20191130
62626,1,1,1,0,1,0,0,20190903,20191130
62627,1,1,1,0,1,0,0,20190903,20191130
62628,0,1,1,0,0,0,0,20190903,20191130
62629,0,1,1,0,0,0,0,20190903,20191130
62630,1,0,0,1,1,0,0,20190903,20191130
62631,1,0,0,1,1,0,0,20190903,20191130
62632,1,1,0,0,1,0,0,20190903,20191130
62633,1,1,0,0,1,0,0,20190903,20191130
62634,1,1,1,1,1,0,1,20190903,20191130
62635,1,1,1,1,1,0,1,20190903,20191130
62636,1,1,1,1,1,1,0,20190903,20191130
62637,1,1,1,1,1,1,0,20190903,20191130
62638,1,1,1,1,1,1,0,20190903,20191130
62639,1,1,1,1,1,0,0,20190903,20191130
62640,1,1,1,1,0,0,1,20190903,20191130
62641,0,1,1,0,1,0,0,20190903,20191130
62642,0,1,1,0,1,0,0,20190903,20191130
105901,1,1,1,1,1,0,0,20190903,20191130
105902,1,1,1,1,0,0,0,20190903,20191130
105903,0,1,1,1,1,0,0,20190903,20191130
105904,0,1,1,1,1,0,0,20190903,20191130
105905,0,0,0,0,1,0,0,20190903,20191130
105906,0,0,0,0,0,1,0,20190903,20191130
105907,0,0,0,0,0,1,0,20190903,20191130
105908,0,0,0,0,0,0,1,20190903,20191130
105909,0,0,0,0,0,0,1,20190903,20191130
105910,0,0,1,1,1,1,0,20190903,20191130
105911,0,1,1,1,1,1,0,20190903,20191130
105912,0,1,1,1,1,1,0,20190903,20191130
105913,1,0,0,0,0,0,0,20190903,20191130
105914,1,0,0,0,0,0,0,20190903,20191130
105915,1,0,0,0,0,0,0,20190903,20191130
105916,0,1,0,0,0,0,0,20190903,20191130
105917,0,1,0,0,0,0,0,20190903,20191130
105918,1,0,1,1,1,0,0,20190903,20191130
105919,1,0,1,1,1,0,0,20190903,20191130
105920,0,0,1,0,0,0,0,20190903,20191130
105921,0,0,1,0,0,0,0,20190903,20191130
105922,1,1,0,1,1,0,0,20190903,20191130
105923,1,1,0,1,1,0,0,20190903,20191130
105924,0,0,0,1,0,0,0,20190903,20191130
105925,0,0,0,1,0,0,0,20190903,20191130
105926,1,1,1,0,1,0,0,20190903,20191130
105927,1,1,1,0,1,0,0,20190903,20191130
105928,0,1,1,0,0,0,0,20190903,20191130
105929,0,1,1,0,0,0,0,20190903,20191130
105930,1,0,0,1,1,0,0,20190903,20191130
105931,1,0,0,1,1,0,0,20190903,20191130
105932,1,1,0,0,1,0,0,20190903,20191130
105933,1,1,0,0,1,0,0,20190903,20191130
105934,1,1,1,1,1,0,1,20190903,20191130
105935,1,1,1,1,1,0,1,20190903,20191130
105936,1,1,1,1,1,1,0,20190903,20191130
105937,1,1,1,1,1,1,0,20190903,20191130
105938,1,1,1,1,1,1,0,20190903,20191130
105939,1,1,1,1,1,0,0,20190903,20191130
105940,1,1,1,1,0,0,1,20190903,20191130
105941,0,1,1,0,1,0,0,20190903,20191130
105942,0,1,1,0,1,0,0,20190903,20191130
205901,1,1,1,1,1,0,0,20190903,20191130
