BOARDING_STOP,INFERRED_ALIGHTING_GTFS_STOP,bin_5,mean,std
386.0,388.0,84,0.25,0.5
386.0,388.0,85,0.0,0.0
386.0,388.0,86,0.0,0.0
386.0,388.0,87,0.0,0.0
386.0,388.0,88,0.0,0.0
386.0,388.0,89,0.25,0.5
386.0,388.0,90,0.0,0.0
386.0,388.0,91,0.0,0.0
386.0,388.0,92,0.0,0.0
386.0,388.0,93,0.0,0.0
386.0,388.0,94,0.0,0.0
386.0,388.0,95,0.0,0.0
386.0,388.0,96,0.0,0.0
386.0,388.0,97,0.0,0.0
386.0,388.0,98,0.0,0.0
386.0,388.0,99,0.0,0.0
386.0,388.0,100,0.25,0.5
386.0,388.0,101,0.0,0.0
386.0,388.0,102,0.0,0.0
386.0,388.0,103,0.0,0.0
386.0,388.0,104,0.0,0.0
386.0,388.0,105,0.0,0.0
386.0,388.0,106,0.0,0.0
386.0,388.0,107,0.0,0.0
386.0,388.0,108,0.0,0.0
386.0,388.0,109,0.0,0.0
386.0,388.0,110,0.0,0.0
386.0,388.0,111,0.0,0.0
386.0,388.0,112,0.0,0.0
386.0,388.0,113,0.0,0.0
386.0,388.0,114,0.25,0.5
386.0,388.0,115,0.0,0.0
386.0,388.0,116,0.0,0.0
386.0,388.0,117,0.0,0.0
386.0,388.0,118,0.0,0.0
386.0,388.0,119,0.0,0.0
386.0,389.0,84,0.0,0.0
386.0,389.0,85,0.0,0.0
386.0,389.0,86,0.0,0.0
386.0,389.0,87,0.0,0.0
386.0,389.0,88,0.0,0.0
386.0,389.0,89,0.0,0.0
386.0,389.0,90,0.0,0.0
386.0,389.0,91,0.0,0.0
386.0,389.0,92,0.0,0.0
386.0,389.0,93,0.0,0.0
386.0,389.0,94,0.0,0.0
386.0,389.0,95,0.0,0.0
386.0,389.0,96,0.0,0.0
386.0,389.0,97,0.0,0.0
386.0,389.0,98,0.0,0.0
386.0,389.0,99,0.0,0.0
386.0,389.0,100,0.0,0.0
386.0,389.0,101,0.0,0.0
386.0,389.0,102,0.0,0.0
386.0,389.0,103,0.0,0.0
386.0,389.0,104,0.0,0.0
386.0,389.0,105,0.0,0.0
386.0,389.0,106,0.0,0.0
386.0,389.0,107,0.0,0.0
386.0,389.0,108,0.0,0.0
386.0,389.0,109,0.0,0.0
386.0,389.0,110,0.0,0.0
386.0,389.0,111,0.0,0.0
386.0,389.0,112,0.0,0.0
386.0,389.0,113,0.0,0.0
386.0,389.0,114,0.25,0.5
386.0,389.0,115,0.0,0.0
386.0,389.0,116,0.0,0.0
386.0,389.0,117,0.0,0.0
386.0,389.0,118,0.0,0.0
386.0,389.0,119,0.0,0.0
386.0,390.0,84,0.0,0.0
386.0,390.0,85,0.0,0.0
386.0,390.0,86,0.0,0.0
386.0,390.0,87,0.0,0.0
386.0,390.0,88,0.0,0.0
386.0,390.0,89,0.0,0.0
386.0,390.0,90,0.0,0.0
386.0,390.0,91,0.0,0.0
386.0,390.0,92,0.0,0.0
386.0,390.0,93,0.0,0.0
386.0,390.0,94,0.0,0.0
386.0,390.0,95,0.0,0.0
386.0,390.0,96,0.0,0.0
386.0,390.0,97,0.0,0.0
386.0,390.0,98,0.0,0.0
386.0,390.0,99,0.0,0.0
386.0,390.0,100,0.0,0.0
386.0,390.0,101,0.25,0.5
386.0,390.0,102,0.0,0.0
386.0,390.0,103,0.0,0.0
386.0,390.0,104,0.0,0.0
386.0,390.0,105,0.0,0.0
386.0,390.0,106,0.0,0.0
