date,trip_id,block_id,stop_sequence,stop_id,avl_arr_sec,avl_dep_sec,schd_sec,route_type
3,911385020,907002,1,8613,18080.0,18080.0,18000,1
3,911239020,907802,1,15136,20073.0,20095.0,20100,2
3,911000030,899503,1,386,20235.0,20235.0,20220,0
3,911385020,907002,63,386,20831.0,21106.0,20760,1
3,911239020,907802,23,386,20830.0,21013.0,20820,2
3,911240020,907802,1,386,21027.0,21027.0,21000,0
3,911315020,897302,1,15136,21309.0,21340.0,21300,2
3,911381020,907002,1,386,21189.0,21538.0,21600,0
3,911315020,897302,23,386,22069.0,22090.0,22020,2
3,911316020,897302,1,386,22394.0,22438.0,22200,0
3,911000030,899503,67,8613,23360.0,23515.0,23040,0
3,911003030,899503,1,8613,23532.0,23532.0,23520,1
3,911240020,907802,67,8613,23916.0,24257.0,23820,0
3,911241020,907802,1,8613,24261.0,24265.0,24300,1
3,911381020,907002,67,8613,24579.0,24579.0,24420,0
3,911382020,907002,1,8613,24601.0,24890.0,24900,1
3,911316020,897302,67,8613,25887.0,25887.0,25020,0
3,911317020,897302,1,8613,25893.0,26014.0,25500,1
3,911003030,899503,63,386,26850.0,26850.0,26280,1
3,911452020,907902,1,15136,26293.0,26293.0,26280,2
3,910939020,899102,1,15136,26632.0,26632.0,26550,2
3,910042020,899602,1,15136,27005.0,27006.0,27030,2
3,911452020,907902,23,386,27045.0,27266.0,27060,2
3,911241020,907802,63,386,27164.0,27179.0,27180,1
3,911457020,907902,1,386,27274.0,27280.0,27240,0
3,910939020,899102,23,386,27354.0,27457.0,27330,2
3,910579020,899102,1,386,27469.0,27469.0,27510,0
3,911242020,907802,1,386,27402.0,27670.0,27780,0
3,910042020,899602,23,386,28001.0,28012.0,27870,2
3,911382020,907002,63,386,28343.0,28361.0,27900,1
3,910043020,899602,1,386,28042.0,28042.0,28050,0
3,911933020,887902,1,386,28818.0,28818.0,28320,0
3,911317020,897302,63,386,29265.0,29497.0,28500,1
3,911951020,887802,1,15136,28761.0,28761.0,28500,2
3,911386020,907002,1,386,28365.0,28580.0,28590,0
3,911318020,897302,1,386,29508.0,29508.0,29160,0
3,911951020,887802,23,386,29513.0,29526.0,29340,2
3,911953020,887802,1,386,29535.0,29568.0,29520,0
3,911457020,907902,67,8613,31864.0,31864.0,30960,0
3,910579020,899102,67,8613,31713.0,31713.0,31230,0
3,911242020,907802,67,8613,32026.0,32026.0,31500,0
3,911458020,907902,1,8613,31999.0,31999.0,31530,1
3,910043020,899602,67,8613,32946.0,32951.0,31770,0
3,910992020,899102,1,8613,31752.0,31755.0,31770,1
3,911243020,907802,1,8613,32142.0,32142.0,32010,1
3,911933020,887902,67,8613,32977.0,32977.0,32040,0
3,910040020,899602,1,8613,32962.0,32962.0,32280,1
3,911386020,907002,67,8613,33255.0,33255.0,32310,0
3,911930020,887902,1,8613,32986.0,32986.0,32550,1
3,911387020,907002,1,8613,33265.0,33265.0,32820,1
3,911318020,897302,67,8613,33918.0,33918.0,32880,0
3,911953020,887802,67,8613,34017.0,34017.0,33240,0
3,911321020,897302,1,8613,33927.0,33927.0,33390,1
3,911954020,887802,1,8613,34027.0,34027.0,33750,1
3,911458020,907902,63,386,35527.0,35667.0,34530,1
3,911243020,907802,63,386,35592.0,35707.0,35010,1
3,911455020,907902,1,386,35676.0,35676.0,35100,0
3,911930020,887902,63,386,36118.0,36119.0,35550,1
3,911244020,907802,1,386,35727.0,35727.0,35700,0
3,911321020,897302,63,386,37346.0,37346.0,36390,1
3,911954020,887802,63,386,37230.0,37607.0,36750,1
4,911385020,907002,1,8613,18002.0,18002.0,18000,1
4,911239020,907802,1,15136,20102.0,20102.0,20100,2
4,911000030,899503,1,386,20262.0,20262.0,20220,0
4,911385020,907002,63,386,20815.0,21321.0,20760,1
4,911239020,907802,23,386,20671.0,20671.0,20820,2
4,911240020,907802,1,386,20702.0,20702.0,21000,0
4,911315020,897302,1,15136,21391.0,21391.0,21300,2
4,911381020,907002,1,386,21383.0,21392.0,21600,0
4,911315020,897302,23,386,21927.0,21927.0,22020,2
4,911316020,897302,1,386,21979.0,21979.0,22200,0
4,911000030,899503,67,8613,23495.0,23495.0,23040,0
4,911003030,899503,1,8613,23505.0,23505.0,23520,1
4,911240020,907802,67,8613,24551.0,24551.0,23820,0
4,911241020,907802,1,8613,24562.0,24562.0,24300,1
4,911381020,907002,67,8613,24825.0,24825.0,24420,0
4,911382020,907002,1,8613,24866.0,24866.0,24900,1
4,911316020,897302,67,8613,25513.0,25513.0,25020,0
4,911317020,897302,1,8613,25526.0,25526.0,25500,1
4,911003030,899503,63,386,26987.0,26987.0,26280,1
4,910939020,899102,1,15136,26603.0,26636.0,26550,2
4,911004030,899503,1,386,27006.0,27006.0,26970,0
4,910042020,899602,1,15136,26914.0,27001.0,27030,2
4,911241020,907802,63,386,27815.0,27815.0,27180,1
4,911457020,907902,1,386,27781.0,27949.0,27240,0
4,910529020,887902,1,15136,27523.0,27530.0,27300,2
4,910939020,899102,23,386,27692.0,27802.0,27330,2
4,910579020,899102,1,386,27813.0,27858.0,27510,0
4,911242020,907802,1,386,27828.0,27828.0,27780,0
4,911971020,887702,1,15136,27827.0,27865.0,27840,2
4,910042020,899602,23,386,27887.0,28035.0,27870,2
4,911382020,907002,63,386,27964.0,27977.0,27900,1
4,910043020,899602,1,386,28058.0,28058.0,28050,0
4,910529020,887902,23,386,28345.0,28365.0,28140,2
4,911933020,887902,1,386,28376.0,28376.0,28320,0
4,911317020,897302,63,386,28472.0,28571.0,28500,1
4,911951020,887802,1,15136,28555.0,28584.0,28500,2
4,911386020,907002,1,386,28225.0,28560.0,28590,0
4,911971020,887702,23,386,28884.0,28897.0,28680,2
4,911972020,887702,1,386,28919.0,28919.0,28860,0
4,911318020,897302,1,386,29106.0,29180.0,29160,0
4,911951020,887802,23,386,29266.0,29370.0,29340,2
4,911953020,887802,1,386,29371.0,29563.0,29520,0
4,911004030,899503,67,8613,31565.0,31565.0,30690,0
4,911457020,907902,67,8613,31670.0,31670.0,30960,0
4,910579020,899102,67,8613,31830.0,31830.0,31230,0
4,911005030,899503,1,8613,31605.0,31605.0,31290,1
4,911242020,907802,67,8613,32028.0,32028.0,31500,0
4,911458020,907902,1,8613,31680.0,31680.0,31530,1
4,910043020,899602,67,8613,32426.0,32427.0,31770,0
4,910992020,899102,1,8613,31902.0,31902.0,31770,1
4,911243020,907802,1,8613,32042.0,32042.0,32010,1
4,911933020,887902,67,8613,32660.0,32660.0,32040,0
4,910040020,899602,1,8613,32445.0,32445.0,32280,1
4,911386020,907002,67,8613,33155.0,33155.0,32310,0
4,911930020,887902,1,8613,32691.0,32691.0,32550,1
4,911972020,887702,67,8613,33920.0,33920.0,32580,0
4,911387020,907002,1,8613,33165.0,33165.0,32820,1
4,911973020,887702,1,8613,33936.0,33936.0,33090,1
4,911953020,887802,67,8613,33886.0,33886.0,33240,0
4,911954020,887802,1,8613,33902.0,33902.0,33750,1
4,911458020,907902,63,386,34443.0,34940.0,34530,1
4,911243020,907802,63,386,35511.0,35560.0,35010,1
4,911455020,907902,1,386,34973.0,35256.0,35100,0
4,911930020,887902,63,386,36292.0,36292.0,35550,1
4,911244020,907802,1,386,35567.0,35698.0,35700,0
4,911321020,897302,63,386,36919.0,36948.0,36390,1
4,911954020,887802,63,386,37384.0,37659.0,36750,1
5,911385020,907002,1,8613,18156.0,18156.0,18000,1
5,911239020,907802,1,15136,20147.0,20147.0,20100,2
5,911000030,899503,1,386,20135.0,20199.0,20220,0
5,911385020,907002,63,386,20835.0,20860.0,20760,1
5,911239020,907802,23,386,21017.0,21017.0,20820,2
5,911240020,907802,1,386,21030.0,21030.0,21000,0
5,911315020,897302,1,15136,21510.0,21510.0,21300,2
5,911381020,907002,1,386,21358.0,21540.0,21600,0
5,911315020,897302,23,386,22308.0,22317.0,22020,2
5,911316020,897302,1,386,22324.0,22324.0,22200,0
5,911000030,899503,67,8613,23184.0,23377.0,23040,0
5,911003030,899503,1,8613,23436.0,23436.0,23520,1
5,911240020,907802,67,8613,24334.0,24334.0,23820,0
5,911240020,907802,67,8613,24334.0,24334.0,23820,0
5,911240020,907802,67,8613,24334.0,24334.0,23820,0
5,911240020,907802,67,8613,24334.0,24334.0,23820,0
5,911241020,907802,1,8613,24342.0,24342.0,24300,1
5,911381020,907002,67,8613,24901.0,24901.0,24420,0
5,911382020,907002,1,8613,24911.0,24911.0,24900,1
5,911316020,897302,67,8613,25497.0,25497.0,25020,0
5,911317020,897302,1,8613,25508.0,25508.0,25500,1
5,911003030,899503,63,386,26963.0,26963.0,26280,1
5,911452020,907902,1,15136,26310.0,26419.0,26280,2
5,910939020,899102,1,15136,26438.0,26523.0,26550,2
5,911004030,899503,1,386,26991.0,26991.0,26970,0
5,910042020,899602,1,15136,27020.0,27035.0,27030,2
5,911452020,907902,23,386,27157.0,27305.0,27060,2
5,911241020,907802,63,386,28035.0,28035.0,27180,1
5,911457020,907902,1,386,27347.0,27382.0,27240,0
5,910529020,887902,1,15136,27401.0,27423.0,27300,2
5,910939020,899102,23,386,27413.0,27489.0,27330,2
5,910579020,899102,1,386,27501.0,27501.0,27510,0
5,911242020,907802,1,386,28059.0,28059.0,27780,0
5,911971020,887702,1,15136,27925.0,27926.0,27840,2
5,910042020,899602,23,386,28056.0,28056.0,27870,2
5,911382020,907002,63,386,28219.0,28252.0,27900,1
5,910043020,899602,1,386,28073.0,28073.0,28050,0
5,910529020,887902,23,386,28187.0,28415.0,28140,2
5,911933020,887902,1,386,28438.0,28438.0,28320,0
5,911317020,897302,63,386,28892.0,28923.0,28500,1
5,911951020,887802,1,15136,28467.0,28507.0,28500,2
5,911386020,907002,1,386,28377.0,28603.0,28590,0
5,911971020,887702,23,386,28642.0,28642.0,28680,2
5,911972020,887702,1,386,28655.0,28872.0,28860,0
5,911318020,897302,1,386,29250.0,29277.0,29160,0
5,911951020,887802,23,386,29490.0,29573.0,29340,2
5,911953020,887802,1,386,29594.0,29594.0,29520,0
5,911004030,899503,67,8613,31279.0,31279.0,30690,0
5,911457020,907902,67,8613,31547.0,31547.0,30960,0
5,910579020,899102,67,8613,31793.0,31793.0,31230,0
5,911005030,899503,1,8613,31294.0,31294.0,31290,1
5,911242020,907802,67,8613,32325.0,32342.0,31500,0
5,911458020,907902,1,8613,31564.0,31564.0,31530,1
5,910043020,899602,67,8613,32368.0,32368.0,31770,0
5,910992020,899102,1,8613,31806.0,31806.0,31770,1
5,911243020,907802,1,8613,32350.0,32350.0,32010,1
5,911933020,887902,67,8613,32439.0,33179.0,32040,0
5,910040020,899602,1,8613,32391.0,32391.0,32280,1
5,911386020,907002,67,8613,32855.0,32855.0,32310,0
5,911930020,887902,1,8613,33195.0,33195.0,32550,1
5,911387020,907002,1,8613,32871.0,32871.0,32820,1
5,911318020,897302,67,8613,34049.0,34049.0,32880,0
5,911973020,887702,1,8613,33809.0,33809.0,33090,1
5,911953020,887802,67,8613,33839.0,34001.0,33240,0
5,911321020,897302,1,8613,34066.0,34066.0,33390,1
5,911954020,887802,1,8613,34011.0,34011.0,33750,1
5,911458020,907902,63,386,34530.0,34552.0,34530,1
5,911243020,907802,63,386,35994.0,36100.0,35010,1
5,911455020,907902,1,386,35054.0,35126.0,35100,0
5,911930020,887902,63,386,36971.0,37290.0,35550,1
5,911244020,907802,1,386,36112.0,36112.0,35700,0
5,911321020,897302,63,386,37272.0,37272.0,36390,1
5,911954020,887802,63,386,37369.0,37387.0,36750,1
6,911385020,907002,1,8613,18168.0,18168.0,18000,1
6,911000030,899503,1,386,20272.0,20287.0,20220,0
6,911385020,907002,63,386,20881.0,21446.0,20760,1
6,911240020,907802,1,386,21976.0,21976.0,21000,0
6,911315020,897302,1,15136,21492.0,21492.0,21300,2
6,911381020,907002,1,386,21529.0,21529.0,21600,0
6,911315020,897302,23,386,22171.0,22321.0,22020,2
6,911316020,897302,1,386,22331.0,22331.0,22200,0
6,911000030,899503,67,8613,23623.0,23623.0,23040,0
6,911003030,899503,1,8613,23634.0,23634.0,23520,1
6,911240020,907802,67,8613,25031.0,25031.0,23820,0
6,911241020,907802,1,8613,25058.0,25058.0,24300,1
6,911381020,907002,67,8613,24895.0,24895.0,24420,0
6,911382020,907002,1,8613,24905.0,24905.0,24900,1
6,911316020,897302,67,8613,25514.0,25514.0,25020,0
6,911003030,899503,63,386,26816.0,26933.0,26280,1
6,911452020,907902,1,15136,26262.0,26262.0,26280,2
6,910939020,899102,1,15136,26492.0,26507.0,26550,2
6,911004030,899503,1,386,26946.0,26946.0,26970,0
6,910042020,899602,1,15136,27001.0,27030.0,27030,2
6,911452020,907902,23,386,27120.0,27133.0,27060,2
6,911241020,907802,63,386,28096.0,28105.0,27180,1
6,911457020,907902,1,386,27245.0,27388.0,27240,0
6,910529020,887902,1,15136,27345.0,27400.0,27300,2
6,910939020,899102,23,386,27332.0,27395.0,27330,2
6,910579020,899102,1,386,27440.0,27440.0,27510,0
6,911242020,907802,1,386,28118.0,28118.0,27780,0
6,911971020,887702,1,15136,27853.0,27853.0,27840,2
6,910042020,899602,23,386,27855.0,27990.0,27870,2
6,911382020,907002,63,386,28368.0,28554.0,27900,1
6,910043020,899602,1,386,28035.0,28035.0,28050,0
6,910529020,887902,23,386,28234.0,28290.0,28140,2
6,911933020,887902,1,386,28339.0,28344.0,28320,0
6,911317020,897302,63,386,28549.0,28585.0,28500,1
6,911951020,887802,1,15136,28445.0,28488.0,28500,2
6,911386020,907002,1,386,28584.0,28584.0,28590,0
6,911971020,887702,23,386,28677.0,28679.0,28680,2
6,911972020,887702,1,386,28686.0,28822.0,28860,0
6,911318020,897302,1,386,29070.0,29112.0,29160,0
6,911951020,887802,23,386,29331.0,29359.0,29340,2
6,911953020,887802,1,386,29474.0,29486.0,29520,0
6,911004030,899503,67,8613,30880.0,31275.0,30690,0
6,911457020,907902,67,8613,31524.0,31524.0,30960,0
6,910579020,899102,67,8613,31738.0,31738.0,31230,0
6,911005030,899503,1,8613,31286.0,31286.0,31290,1
6,911242020,907802,67,8613,32469.0,32474.0,31500,0
6,911458020,907902,1,8613,31541.0,31541.0,31530,1
6,910043020,899602,67,8613,32327.0,32327.0,31770,0
6,910992020,899102,1,8613,31820.0,31820.0,31770,1
6,911243020,907802,1,8613,32510.0,32519.0,32010,1
6,911933020,887902,67,8613,32738.0,32738.0,32040,0
6,910040020,899602,1,8613,32342.0,32342.0,32280,1
6,911386020,907002,67,8613,33006.0,33006.0,32310,0
6,911930020,887902,1,8613,32750.0,32750.0,32550,1
6,911972020,887702,67,8613,32595.0,32595.0,32580,0
6,911387020,907002,1,8613,33010.0,33010.0,32820,1
6,911318020,897302,67,8613,33811.0,33811.0,32880,0
6,911973020,887702,1,8613,33082.0,33082.0,33090,1
6,911953020,887802,67,8613,33658.0,33746.0,33240,0
6,911321020,897302,1,8613,33823.0,33823.0,33390,1
6,911954020,887802,1,8613,33806.0,33806.0,33750,1
6,911458020,907902,63,386,34451.0,34479.0,34530,1
6,911455020,907902,1,386,34859.0,35072.0,35100,0
6,911930020,887902,63,386,36166.0,36421.0,35550,1
6,911244020,907802,1,386,36163.0,36163.0,35700,0
6,911321020,897302,63,386,36810.0,36923.0,36390,1
6,911954020,887802,63,386,37371.0,37532.0,36750,1
9,911385020,907002,1,8613,18027.0,18027.0,18000,1
9,911239020,907802,1,15136,20158.0,20158.0,20100,2
9,911385020,907002,63,386,20860.0,20873.0,20760,1
9,911239020,907802,23,386,20787.0,20810.0,20820,2
