route_id,schd_trip_id,stop_id,stop_sequence,arrival_time,schd_sec,trip_id,event_time,avl_sec,dwell_time,passenger_load,departure_time,avl_dep_sec
20,911381020,386,1,06:00:00,21600,911381020,2019-09-03 05:53:09,21189.0,843,1,2019-09-03 05:58:58,21538.0
20,911381020,386,1,06:00:00,21600,911381020,2019-09-04 05:56:23,107783.0,873,4,2019-09-04 05:56:32,107792.0
20,911381020,386,1,06:00:00,21600,911381020,2019-09-05 05:55:58,194158.0,810,3,2019-09-05 05:59:00,194340.0
20,911381020,386,1,06:00:00,21600,911381020,2019-09-06 05:58:49,280729.0,768,3,2019-09-06 05:58:49,280729.0
20,911316020,386,1,06:10:00,22200,911316020,2019-09-03 06:13:14,22394.0,450,5,2019-09-03 06:13:58,22438.0
20,911316020,386,1,06:10:00,22200,911316020,2019-09-04 06:06:19,108379.0,349,2,2019-09-04 06:06:19,108379.0
20,911316020,386,1,06:10:00,22200,911316020,2019-09-05 06:12:04,195124.0,101,0,2019-09-05 06:12:04,195124.0
20,911316020,386,1,06:10:00,22200,911316020,2019-09-06 06:12:11,281531.0,214,5,2019-09-06 06:12:11,281531.0
20,911411030,386,1,06:19:30,22770,911411030,2019-09-03 06:19:19,22759.0,1058,12,2019-09-03 06:19:19,22759.0
20,911411030,386,1,06:19:30,22770,911411030,2019-09-04 06:16:00,108960.0,693,10,2019-09-04 06:17:18,109038.0
20,911411030,386,1,06:19:30,22770,911411030,2019-09-06 06:19:49,281989.0,721,13,2019-09-06 06:19:49,281989.0
20,910504020,386,1,06:28:30,23310,910504020,2019-09-03 06:28:51,23331.0,247,0,2019-09-03 06:28:51,23331.0
20,910504020,386,1,06:28:30,23310,910504020,2019-09-04 06:30:07,109807.0,270,15,2019-09-04 06:30:07,109807.0
20,910504020,386,1,06:28:30,23310,910504020,2019-09-05 06:28:49,196129.0,274,6,2019-09-05 06:29:25,196165.0
20,910504020,386,1,06:28:30,23310,910504020,2019-09-06 06:28:24,282504.0,158,1,2019-09-06 06:28:24,282504.0
20,911263020,386,1,06:35:30,23730,911263020,2019-09-04 06:37:04,110224.0,551,2,2019-09-04 06:37:04,110224.0
20,911878020,386,1,06:42:00,24120,911878020,2019-09-03 06:46:46,24406.0,0,5,2019-09-03 06:46:46,24406.0
20,911878020,386,1,06:42:00,24120,911878020,2019-09-04 06:49:01,110941.0,0,0,2019-09-04 06:49:01,110941.0
20,911878020,386,1,06:42:00,24120,911878020,2019-09-05 06:42:40,196960.0,275,1,2019-09-05 06:42:40,196960.0
20,911878020,386,1,06:42:00,24120,911878020,2019-09-06 06:37:49,283069.0,418,4,2019-09-06 06:43:10,283390.0
20,911364020,386,1,06:48:00,24480,911364020,2019-09-03 06:49:03,24543.0,25,12,2019-09-03 06:49:28,24568.0
20,911364020,386,1,06:48:00,24480,911364020,2019-09-04 06:49:39,110979.0,329,0,2019-09-04 06:49:39,110979.0
20,911364020,386,1,06:48:00,24480,911364020,2019-09-05 06:48:40,197320.0,303,1,2019-09-05 06:48:40,197320.0
20,911364020,386,1,06:48:00,24480,911364020,2019-09-06 06:47:53,283673.0,274,1,2019-09-06 06:47:53,283673.0
20,911903030,386,1,06:54:00,24840,911903030,2019-09-04 06:47:16,110836.0,554,10,2019-09-04 06:53:56,111236.0
20,911903030,386,1,06:54:00,24840,911903030,2019-09-05 06:49:27,197367.0,552,9,2019-09-05 06:54:40,197680.0
20,911903030,386,1,06:54:00,24840,911903030,2019-09-06 06:54:05,284045.0,534,17,2019-09-06 06:54:05,284045.0
20,911853020,386,1,06:59:00,25140,911853020,2019-09-03 07:03:09,25389.0,213,9,2019-09-03 07:03:09,25389.0
20,911853020,386,1,06:59:00,25140,911853020,2019-09-05 07:00:38,198038.0,171,4,2019-09-05 07:00:38,198038.0
20,911853020,386,1,06:59:00,25140,911853020,2019-09-06 07:01:16,284476.0,156,5,2019-09-06 07:01:16,284476.0
20,911214020,386,1,07:04:00,25440,911214020,2019-09-03 07:16:32,26192.0,0,19,2019-09-03 07:16:32,26192.0
20,911214020,386,1,07:04:00,25440,911214020,2019-09-04 07:05:46,111946.0,385,2,2019-09-04 07:05:52,111952.0
20,911214020,386,1,07:04:00,25440,911214020,2019-09-05 07:02:44,198164.0,233,0,2019-09-05 07:02:44,198164.0
20,911214020,386,1,07:04:00,25440,911214020,2019-09-06 07:06:15,284775.0,127,3,2019-09-06 07:06:15,284775.0
20,911377020,386,1,07:08:30,25710,911377020,2019-09-04 07:09:32,112172.0,250,3,2019-09-04 07:09:32,112172.0
20,911377020,386,1,07:08:30,25710,911377020,2019-09-05 07:09:16,198556.0,144,4,2019-09-05 07:09:16,198556.0
20,911377020,386,1,07:08:30,25710,911377020,2019-09-06 07:07:34,284854.0,237,0,2019-09-06 07:08:04,284884.0
