link,mean,std,count
386-388,"[43.3, 38.0, 38.9, 31.3, 27.4, 36.0]","[16.7, 16.0, 9.9, 3.6, 4.8, 11.1]","[24, 21, 11, 7, 5, 9]"
388-389,"[25.9, 24.5, 36.6, 23.0, 28.1, 24.1]","[8.3, 9.6, 23.9, 5.0, 17.6, 11.9]","[24, 22, 18, 10, 7, 12]"
389-390,"[26.5, 24.4, 34.5, 21.4, 21.9, 27.5]","[8.5, 7.8, 18.7, 4.7, 6.3, 13.6]","[23, 25, 17, 10, 7, 14]"
390-391,"[21.1, 20.3, 26.1, 18.2, 22.0, 23.7]","[5.9, 5.1, 11.7, 6.0, 9.7, 9.7]","[22, 25, 15, 12, 7, 14]"
391-14956,"[59.8, 60.6, 63.1, 42.8, 56.8, 49.6]","[20.0, 27.9, 20.9, 13.7, 18.5, 16.7]","[22, 28, 16, 12, 8, 14]"
14956-393,"[16.3, 15.2, 20.9, 22.2, 18.3, 16.4]","[3.1, 4.3, 7.8, 9.2, 3.8, 6.5]","[19, 26, 13, 10, 6, 12]"
393-394,"[17.8, 19.4, 26.2, 30.2, 25.4, 23.7]","[4.4, 4.0, 13.3, 12.4, 9.0, 12.9]","[18, 24, 18, 12, 8, 14]"
394-395,"[32.0, 30.4, 37.6, 31.7, 40.1, 37.1]","[9.2, 8.4, 21.6, 8.8, 16.4, 14.7]","[20, 27, 17, 12, 8, 15]"
395-396,"[29.2, 30.9, 40.5, 32.1, 28.0, 35.4]","[4.6, 8.1, 19.5, 10.3, 11.5, 12.0]","[17, 29, 18, 11, 7, 15]"
396-397,"[37.4, 38.6, 51.3, 36.4, 46.1, 43.0]","[7.6, 5.1, 19.7, 7.1, 16.0, 11.5]","[18, 25, 19, 9, 9, 15]"
397-17169,"[38.5, 47.6, 60.4, 37.0, 56.1, 50.2]","[9.0, 17.3, 32.8, 6.7, 30.0, 24.1]","[17, 28, 18, 7, 11, 15]"
17169-17162,"[57.6, 39.7, 54.3, 50.3, 61.7, 48.7]","[19.6, 6.0, 19.7, 13.4, 20.9, 17.1]","[21, 22, 19, 7, 10, 14]"
17162-14959,"[82.2, 72.5, 85.8, 87.0, 113.5, 91.4]","[21.6, 25.3, 30.9, 29.7, 28.9, 19.0]","[19, 28, 21, 9, 8, 14]"
14959-402,"[29.1, 30.9, 59.2, 28.1, 64.4, 33.5]","[4.2, 5.0, 41.2, 4.6, 53.8, 15.4]","[17, 25, 20, 9, 9, 14]"
402-403,"[24.9, 24.6, 33.5, 25.1, 35.8, 27.4]","[4.5, 3.2, 17.3, 5.0, 15.1, 8.8]","[17, 24, 19, 9, 9, 14]"
403-17163,"[39.6, 38.3, 49.9, 33.8, 48.3, 39.2]","[15.3, 12.4, 18.1, 9.8, 24.5, 14.0]","[19, 27, 21, 10, 9, 15]"
17163-15848,"[52.3, 47.6, 72.7, 52.4, 44.3, 40.7]","[23.0, 16.0, 25.1, 22.8, 18.6, 18.3]","[19, 27, 20, 10, 9, 15]"
15848-406,"[29.5, 28.4, 52.1, 28.8, 48.1, 30.9]","[7.8, 5.0, 31.9, 3.6, 26.4, 9.0]","[17, 23, 21, 8, 10, 14]"
406-14500,"[39.6, 47.8, 46.1, 41.8, 54.4, 37.6]","[15.8, 17.1, 23.9, 14.1, 30.8, 7.7]","[20, 29, 21, 9, 10, 12]"
14500-15852,"[62.7, 59.4, 67.9, 70.9, 91.6, 69.9]","[22.0, 28.2, 28.3, 25.1, 22.1, 24.9]","[21, 28, 21, 11, 9, 14]"
15852-409,"[28.1, 31.8, 43.4, 41.3, 28.8, 61.7]","[6.8, 12.5, 27.4, 25.1, 3.9, 50.5]","[17, 26, 22, 9, 9, 13]"
409-18047,"[57.3, 71.4, 97.4, 39.3, 59.5, 53.6]","[19.6, 28.0, 42.1, 8.1, 32.7, 19.9]","[19, 28, 24, 7, 11, 14]"
18047-17841,"[52.1, 67.5, 79.3, 86.3, 100.6, 63.4]","[30.1, 30.2, 31.8, 26.5, 38.3, 22.8]","[17, 29, 21, 10, 12, 12]"
17841-412,"[48.7, 50.3, 59.2, 44.0, 61.8, 49.4]","[7.0, 6.4, 21.2, 4.2, 28.1, 6.5]","[15, 24, 22, 9, 10, 12]"
412-413,"[28.2, 38.6, 57.5, 42.3, 44.2, 35.7]","[8.7, 11.9, 31.5, 23.3, 22.4, 13.5]","[15, 25, 24, 12, 11, 12]"
413-14764,"[47.7, 60.4, 69.9, 64.1, 61.0, 47.5]","[7.2, 16.0, 29.0, 15.6, 18.5, 8.5]","[15, 25, 22, 14, 11, 10]"
14764-415,"[29.1, 39.0, 45.3, 32.8, 47.8, 24.8]","[5.8, 13.2, 27.0, 13.6, 30.9, 4.4]","[15, 25, 20, 12, 11, 10]"
415-416,"[34.5, 48.8, 58.2, 45.2, 38.6, 26.8]","[10.3, 24.2, 18.7, 18.4, 17.5, 2.9]","[17, 26, 20, 16, 11, 9]"
416-417,"[40.6, 52.3, 54.1, 52.9, 59.8, 50.4]","[8.6, 14.6, 15.1, 22.0, 22.3, 18.1]","[14, 28, 17, 15, 11, 9]"
