service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
64601,1,1,1,1,1,0,0,20220413,20220416
64602,1,1,1,1,0,0,0,20220413,20220416
64603,0,1,1,1,1,0,0,20220413,20220416
64604,0,1,1,1,1,0,0,20220413,20220416
64605,0,0,0,0,1,0,0,20220413,20220416
64606,0,0,0,0,0,1,0,20220413,20220416
64607,0,0,0,0,0,1,0,20220413,20220416
64608,0,0,0,0,0,0,1,20220413,20220416
64609,0,0,0,0,0,0,1,20220413,20220416
64610,0,0,1,1,1,1,0,20220413,20220416
64611,0,1,1,1,1,1,0,20220413,20220416
64612,0,1,1,1,1,1,0,20220413,20220416
64613,1,0,0,0,0,0,0,20220413,20220416
64614,1,0,0,0,0,0,0,20220413,20220416
64615,1,0,0,0,0,0,0,20220413,20220416
64616,0,1,0,0,0,0,0,20220413,20220416
64617,0,1,0,0,0,0,0,20220413,20220416
64618,1,0,1,1,1,0,0,20220413,20220416
64619,1,0,1,1,1,0,0,20220413,20220416
64620,0,0,1,0,0,0,0,20220413,20220416
64621,0,0,1,0,0,0,0,20220413,20220416
64622,1,1,0,1,1,0,0,20220413,20220416
64623,1,1,0,1,1,0,0,20220413,20220416
64624,0,0,0,1,0,0,0,20220413,20220416
64625,0,0,0,1,0,0,0,20220413,20220416
64626,1,1,1,0,1,0,0,20220413,20220416
64627,1,1,1,0,1,0,0,20220413,20220416
64628,0,1,1,0,0,0,0,20220413,20220416
64629,0,1,1,0,0,0,0,20220413,20220416
64630,1,0,0,1,1,0,0,20220413,20220416
64631,1,0,0,1,1,0,0,20220413,20220416
64632,1,1,0,0,1,0,0,20220413,20220416
64633,1,1,0,0,1,0,0,20220413,20220416
64634,1,1,1,1,1,0,1,20220413,20220416
64635,1,1,1,1,1,0,1,20220413,20220416
64636,1,1,1,1,1,1,0,20220413,20220416
64637,1,1,1,1,1,1,0,20220413,20220416
64638,1,1,1,1,1,1,0,20220413,20220416
64639,1,1,1,1,1,0,0,20220413,20220416
64640,1,1,1,1,0,0,1,20220413,20220416
64641,0,1,1,0,1,0,0,20220413,20220416
64642,0,1,1,0,1,0,0,20220413,20220416
64701,1,1,1,1,1,0,0,20220417,20220630
64702,1,1,1,1,0,0,0,20220417,20220630
64703,0,1,1,1,1,0,0,20220417,20220630
64704,0,1,1,1,1,0,0,20220417,20220630
64705,0,0,0,0,1,0,0,20220417,20220630
64706,0,0,0,0,0,1,0,20220417,20220630
64707,0,0,0,0,0,1,0,20220417,20220630
64708,0,0,0,0,0,0,1,20220417,20220630
64709,0,0,0,0,0,0,1,20220417,20220630
64710,0,0,1,1,1,1,0,20220417,20220630
64711,0,1,1,1,1,1,0,20220417,20220630
64712,0,1,1,1,1,1,0,20220417,20220630
64713,1,0,0,0,0,0,0,20220417,20220630
64714,1,0,0,0,0,0,0,20220417,20220630
64715,1,0,0,0,0,0,0,20220417,20220630
64716,0,1,0,0,0,0,0,20220417,20220630
64717,0,1,0,0,0,0,0,20220417,20220630
64718,1,0,1,1,1,0,0,20220417,20220630
64719,1,0,1,1,1,0,0,20220417,20220630
64720,0,0,1,0,0,0,0,20220417,20220630
64721,0,0,1,0,0,0,0,20220417,20220630
64722,1,1,0,1,1,0,0,20220417,20220630
64723,1,1,0,1,1,0,0,20220417,20220630
64724,0,0,0,1,0,0,0,20220417,20220630
64725,0,0,0,1,0,0,0,20220417,20220630
64726,1,1,1,0,1,0,0,20220417,20220630
64727,1,1,1,0,1,0,0,20220417,20220630
64728,0,1,1,0,0,0,0,20220417,20220630
64729,0,1,1,0,0,0,0,20220417,20220630
64730,1,0,0,1,1,0,0,20220417,20220630
64731,1,0,0,1,1,0,0,20220417,20220630
64732,1,1,0,0,1,0,0,20220417,20220630
64733,1,1,0,0,1,0,0,20220417,20220630
64734,1,1,1,1,1,0,1,20220417,20220630
64735,1,1,1,1,1,0,1,20220417,20220630
64736,1,1,1,1,1,1,0,20220417,20220630
64737,1,1,1,1,1,1,0,20220417,20220630
64738,1,1,1,1,1,1,0,20220417,20220630
64739,1,1,1,1,1,0,0,20220417,20220630
64740,1,1,1,1,0,0,1,20220417,20220630
64741,0,1,1,0,1,0,0,20220417,20220630
64742,0,1,1,0,1,0,0,20220417,20220630
106701,1,1,1,1,1,0,0,20220413,20220423
106702,1,1,1,1,0,0,0,20220413,20220423
106703,0,1,1,1,1,0,0,20220413,20220423
106704,0,1,1,1,1,0,0,20220413,20220423
106705,0,0,0,0,1,0,0,20220413,20220423
106706,0,0,0,0,0,1,0,20220413,20220423
106707,0,0,0,0,0,1,0,20220413,20220423
106708,0,0,0,0,0,0,1,20220413,20220423
106709,0,0,0,0,0,0,1,20220413,20220423
106710,0,0,1,1,1,1,0,20220413,20220423
106711,0,1,1,1,1,1,0,20220413,20220423
106712,0,1,1,1,1,1,0,20220413,20220423
106713,1,0,0,0,0,0,0,20220413,20220423
106714,1,0,0,0,0,0,0,20220413,20220423
106715,1,0,0,0,0,0,0,20220413,20220423
106716,0,1,0,0,0,0,0,20220413,20220423
106717,0,1,0,0,0,0,0,20220413,20220423
106718,1,0,1,1,1,0,0,20220413,20220423
106719,1,0,1,1,1,0,0,20220413,20220423
106720,0,0,1,0,0,0,0,20220413,20220423
106721,0,0,1,0,0,0,0,20220413,20220423
106722,1,1,0,1,1,0,0,20220413,20220423
106723,1,1,0,1,1,0,0,20220413,20220423
106724,0,0,0,1,0,0,0,20220413,20220423
106725,0,0,0,1,0,0,0,20220413,20220423
106726,1,1,1,0,1,0,0,20220413,20220423
106727,1,1,1,0,1,0,0,20220413,20220423
106728,0,1,1,0,0,0,0,20220413,20220423
106729,0,1,1,0,0,0,0,20220413,20220423
106730,1,0,0,1,1,0,0,20220413,20220423
106731,1,0,0,1,1,0,0,20220413,20220423
106732,1,1,0,0,1,0,0,20220413,20220423
106733,1,1,0,0,1,0,0,20220413,20220423
106734,1,1,1,1,1,0,1,20220413,20220423
106735,1,1,1,1,1,0,1,20220413,20220423
106736,1,1,1,1,1,1,0,20220413,20220423
106737,1,1,1,1,1,1,0,20220413,20220423
106738,1,1,1,1,1,1,0,20220413,20220423
106739,1,1,1,1,1,0,0,20220413,20220423
106740,1,1,1,1,0,0,1,20220413,20220423
106741,0,1,1,0,1,0,0,20220413,20220423
106742,0,1,1,0,1,0,0,20220413,20220423
106801,1,1,1,1,1,0,0,20220424,20220630
106802,1,1,1,1,0,0,0,20220424,20220630
106803,0,1,1,1,1,0,0,20220424,20220630
106804,0,1,1,1,1,0,0,20220424,20220630
106805,0,0,0,0,1,0,0,20220424,20220630
106806,0,0,0,0,0,1,0,20220424,20220630
106807,0,0,0,0,0,1,0,20220424,20220630
106808,0,0,0,0,0,0,1,20220424,20220630
106809,0,0,0,0,0,0,1,20220424,20220630
106810,0,0,1,1,1,1,0,20220424,20220630
