stop,fw_h,load,action
22,427.57470535709217,16,0
22,649.4538859699096,16,0
48,692.5677954496241,30,0
48,419.12652852883184,14,0
22,470.231481158462,10,0
22,335.36489903130496,9,0
22,332.89801788069235,17,0
48,334.4205790846245,11,0
22,321.0588071660459,12,0
48,441.4402790429922,16,0
22,414.71602406484453,16,0
22,360.2970574019164,16,0
48,569.3273638348946,20,0
48,294.9091874018668,15,0
22,276.163336729438,10,0
22,336.22447932254363,10,0
48,629.285934659667,20,0
22,483.2929015630398,12,0
22,399.642605277455,20,0
22,286.8048986349968,16,0
48,621.0619193967068,14,0
22,400.53287671559156,11,0
48,367.97253697714405,17,0
22,359.6409770427563,10,0
48,418.95458902125756,8,0
22,426.6045667758117,14,0
22,504.08838161847234,24,0
22,554.0101399111736,24,0
48,528.4762944535942,20,0
22,319.7714171542211,8,0
22,630.7838422098757,18,0
48,499.37264501713435,16,0
22,300.719264586176,17,0
22,200.50977064647304,15,0
48,531.5258027863529,13,0
48,361.0301374516166,14,0
22,337.5355889973216,12,0
48,465.3611461789187,21,0
22,393.58756405578606,13,0
48,412.724234092635,13,0
22,261.29978610472244,10,0
48,474.79399688786725,18,0
48,483.9283509212728,11,0
22,415.01146553520084,9,0
22,305.62290938553633,19,0
22,434.066713622964,16,0
22,375.7894033575467,13,0
48,399.29205138713587,13,0
22,365.23272502694454,18,0
48,449.82843380855775,11,0
22,374.9980638125853,14,0
48,682.8880827543398,23,0
22,309.36105018121816,10,0
22,388.2917768911575,9,0
22,359.12159152396634,13,0
22,388.65589281737266,10,0
48,413.6195034652701,15,0
22,372.32357963025424,13,0
48,228.8146604403555,11,0
22,340.5753234824988,12,0
48,470.82459108809417,12,0
48,749.5099774106347,22,0
22,420.26123396934054,8,0
22,366.25645568986147,16,0
48,530.8346926726663,16,0
48,670.6621726987178,16,0
22,518.7192710605159,15,0
22,418.98627333573677,22,0
48,406.3824663253654,10,0
22,474.63989722300175,13,0
22,455.640851428052,20,0
48,683.2896209378378,23,0
22,431.95938705409935,14,0
22,525.6262960576241,7,0
22,452.9922452673709,17,0
22,438.58984151266486,12,0
22,277.738545735192,7,0
22,400.3739097962316,16,0
48,555.7027989364869,14,0
22,413.6954917454459,13,0
48,491.3786826626856,14,0
48,317.11671578797177,9,0
22,415.4237302624424,9,0
22,168.64400814037435,3,0
48,521.1404443445863,15,0
22,396.95131351441887,12,0
22,425.5616268724734,18,0
22,434.2723006502747,12,0
22,282.3314579529251,14,0
22,411.32734371020706,10,0
48,372.54223344626735,10,0
22,424.5816857709433,12,0
22,361.19880750927405,8,0
22,545.3288846667419,19,0
22,271.0897948539787,9,0
22,349.088296633352,17,0
48,457.8549308915208,17,0
22,543.4200164932226,15,0
48,316.1713850720771,13,0
48,495.21538958152087,12,0
48,339.1072422740617,0,0
22,340.95664428038435,6,0
22,445.5793044941456,12,0
22,503.6897967925979,23,0
48,497.31344421034737,12,0
48,537.9283351992999,14,0
22,272.4366475909774,12,0
22,445.7728226018444,6,0
48,480.1226643399823,16,0
22,283.77009357631687,11,0
22,392.8387079062268,15,0
48,465.32018846608844,16,0
22,389.7880897408795,15,0
48,385.0796787293257,21,0
22,443.8718259058878,14,0
22,310.9102642840553,10,0
48,484.5284443102137,14,0
22,352.54276734130326,15,0
22,254.63174847459595,7,0
48,550.6670217488681,11,0
22,483.8476897378423,10,0
22,409.25911876869577,14,0
22,540.3077111046841,15,0
22,400.5660127816591,15,0
22,473.4511527140967,18,0
48,363.006930432839,7,0
48,540.7163998986834,14,0
22,306.80164981556663,15,0
48,668.8417196343653,16,0
22,520.1127861564528,25,0
22,330.04663959571917,12,0
22,323.24815809820575,9,0
48,495.89914848852277,19,0
22,369.0375267317795,9,0
48,362.206513582616,7,0
