method,wt_mean,err_wt_mean,wt_median,denied_per_mil,wt_0_2,wt_2_4,wt_4_inf,rbt_mean,rbt_median,cv_h_tp,err_cv_h_tp,h_pk,std_h_pk
EH (base),2.81,0.064,2.7,3.11,52.33,32.6,15.07,1.99,1.99,0.56,0.004,4.5,2.74
DDQN-LA (base),2.85,0.05,2.86,3.04,51.72,33.25,15.03,1.99,2.07,0.6,0.006,4.63,3.17
DDQN-HA (base),2.72,0.035,2.67,9.9,53.53,32.18,14.29,1.86,1.75,0.56,0.004,4.67,2.89
EH (0.8),2.89,0.104,2.82,7.46,52.05,31.86,16.09,2.0,1.97,0.61,0.01,4.49,3.11
DDQN-LA (NR+0.8),2.94,0.046,2.98,3.45,50.18,32.76,17.05,2.01,2.05,0.6,0.004,4.54,3.19
DDQN-LA (0.8),2.94,0.025,2.94,5.23,50.62,32.0,17.37,1.81,1.78,0.62,0.003,4.69,3.47
DDQN-HA (NR+0.8),2.74,0.057,2.72,9.54,53.64,31.97,14.39,1.9,1.8,0.56,0.005,4.6,2.88
DDQN-HA (0.8),2.8,0.028,2.76,6.97,51.95,33.04,15.01,1.91,1.86,0.56,0.003,4.65,2.92
EH (0.6),2.91,0.082,2.83,6.76,51.9,31.47,16.63,2.03,2.01,0.63,0.009,4.56,3.29
DDQN-LA (NR+0.6),2.93,0.047,2.93,6.17,50.48,33.3,16.21,2.05,2.0,0.6,0.006,4.46,3.18
DDQN-LA (0.6),2.87,0.049,2.83,4.03,51.13,32.91,15.96,1.94,1.91,0.6,0.005,4.68,3.34
DDQN-HA (NR+0.6),2.83,0.108,2.71,13.84,52.75,31.66,15.59,1.9,1.76,0.59,0.008,4.59,3.21
DDQN-HA (0.6),2.76,0.04,2.74,9.38,52.26,33.43,14.31,1.9,1.74,0.55,0.004,4.7,2.79
