stop,mean1,std1,mean2,std2,mean3,std3
386,6.5,3.9,20.6,19.0,30.0,0.0
388,4.6,4.2,4.8,4.1,4.3,4.1
389,5.3,4.1,4.3,4.4,4.7,4.1
390,2.2,3.3,2.2,3.2,2.7,3.2
391,5.3,3.9,5.4,3.8,5.2,4.0
14956,12.0,4.3,12.1,4.4,12.1,3.7
393,0.3,0.7,0.2,0.7,0.2,0.6
394,6.4,4.4,5.8,4.4,6.3,4.5
395,2.7,3.4,2.4,3.3,3.0,3.6
396,6.6,4.0,6.2,4.5,6.0,3.9
397,8.7,3.6,8.9,3.3,8.9,3.4
17169,6.1,3.9,5.8,4.2,6.0,3.9
17162,7.3,4.0,8.3,3.8,8.3,3.6
14959,9.0,3.2,9.0,3.4,9.2,3.1
402,2.7,3.3,2.7,3.4,3.3,3.5
403,1.2,2.3,0.7,1.6,1.1,2.3
17163,3.7,3.6,4.3,3.7,4.0,4.1
15848,6.6,3.5,6.5,3.4,6.4,3.0
406,7.9,2.6,22.9,18.6,29.8,0.7
14500,1.3,2.3,1.3,2.2,1.3,2.3
15852,2.6,3.3,2.8,3.3,3.1,3.4
409,7.6,2.5,8.3,2.4,7.9,2.5
18047,0.0,0.0,0.0,0.0,0.0,0.0
17841,5.2,4.0,5.4,4.0,5.2,4.3
412,3.1,3.3,3.7,3.2,2.9,3.1
413,0.2,0.8,0.1,0.2,0.1,0.2
14764,7.9,3.1,8.2,2.9,7.9,2.6
415,2.9,3.1,3.0,3.3,3.0,3.3
416,9.4,1.6,9.5,2.3,9.7,2.1
417,3.4,3.1,3.8,3.6,3.7,3.7
15185,3.9,3.6,3.9,3.7,2.9,3.5
16110,4.8,3.2,5.0,3.1,5.1,2.9
420,7.2,3.9,7.4,3.5,7.2,3.5
421,0.0,0.0,20.3,23.3,30.0,0.0
16088,0.3,0.7,0.3,0.9,0.1,0.2
423,0.2,0.6,0.2,0.6,0.4,1.0
15364,8.4,3.8,8.1,2.6,8.0,3.6
425,3.5,3.4,3.0,3.3,2.8,3.4
15384,7.7,4.1,7.9,4.7,7.8,5.0
427,7.6,3.2,7.4,3.1,7.4,3.2
428,6.5,3.4,6.6,2.9,6.9,3.0
429,0.6,1.7,0.4,1.3,0.4,1.3
430,2.0,3.1,2.1,3.3,1.5,2.8
431,2.3,2.9,1.7,3.0,2.6,3.0
4727,2.5,3.3,2.2,3.0,2.0,3.0
432,3.3,3.8,2.5,3.4,2.8,3.3
15279,4.3,3.9,3.9,3.4,3.6,3.9
16049,1.7,2.9,23.0,22.6,29.5,3.5
435,8.3,5.2,7.7,4.3,8.5,4.4
436,9.5,5.6,10.0,5.4,11.0,5.3
437,6.4,4.5,6.4,4.1,5.7,4.9
14647,6.8,4.5,5.6,4.3,6.1,4.2
439,3.8,4.1,4.4,3.8,3.7,3.8
440,7.5,4.9,7.4,4.4,7.9,3.9
12754,3.1,3.6,3.3,3.7,3.3,3.7
442,6.9,3.6,8.0,3.3,7.4,3.2
443,16.7,7.5,17.0,8.3,17.8,7.9
445,11.2,4.0,11.5,4.0,11.9,4.2
446,10.0,3.8,9.7,3.2,9.8,3.9
18122,10.4,5.2,11.2,4.1,11.6,3.9
448,10.2,3.6,10.2,4.2,11.2,3.9
1119,1.4,2.2,2.2,3.0,2.4,3.0
1120,2.6,3.2,2.2,2.9,2.6,3.0
1121,1.3,2.0,1.6,2.6,1.5,2.3
3953,1.2,2.1,0.9,2.0,1.5,2.6
3954,1.6,2.6,1.8,2.7,2.3,3.0
8613,4.6,3.7,4.8,3.7,5.0,3.7
