stop,mean1,std1,mean2,std2,mean3,std3
386,285.1,38.0,283.4,48.1,281.6,39.4
388,284.0,43.2,287.4,49.4,281.7,44.4
389,283.3,46.0,286.6,49.1,281.8,43.9
390,283.1,48.2,286.6,51.4,281.9,44.9
391,283.4,49.5,286.5,51.9,282.3,44.8
14956,282.2,60.2,287.3,60.8,281.6,50.2
393,282.7,62.0,287.5,63.8,281.7,51.2
394,283.1,62.3,287.7,64.3,282.1,51.0
395,282.4,61.5,287.3,64.3,281.8,52.9
396,282.4,65.2,286.9,64.4,281.5,54.9
397,282.4,65.6,287.0,66.8,282.0,57.1
17169,281.3,70.4,286.2,74.7,282.0,62.6
17162,281.2,72.5,285.5,76.6,281.6,63.8
14959,282.4,84.7,285.3,83.4,279.8,72.6
402,282.5,85.8,285.7,85.7,280.3,74.3
403,282.7,85.2,285.7,87.8,280.2,74.1
17163,283.3,86.4,286.2,88.8,279.6,73.2
15848,283.8,89.0,288.6,86.6,281.4,79.7
406,284.6,90.0,288.7,88.9,281.9,81.7
14500,284.4,95.2,288.5,72.1,280.8,82.0
15852,283.0,101.4,286.9,80.9,280.8,84.3
409,282.7,103.2,284.4,83.2,279.5,86.7
18047,284.9,107.5,288.2,89.8,282.4,110.1
17841,285.1,113.9,290.2,97.0,283.1,111.2
412,284.6,115.0,290.0,97.8,282.6,114.5
413,283.5,113.6,288.8,101.8,281.8,122.8
14764,283.3,115.2,287.3,104.3,280.1,129.9
415,282.4,116.2,285.3,104.6,278.6,129.5
416,282.2,118.4,283.0,106.5,277.9,138.1
417,282.0,117.1,282.6,110.5,277.6,136.7
15185,284.9,121.7,284.2,117.5,279.7,141.8
16110,285.2,121.7,284.2,116.8,279.3,145.0
420,284.7,125.8,283.3,117.6,279.4,147.8
421,285.2,128.5,283.6,118.6,279.4,149.6
16088,284.7,126.8,283.9,91.4,279.3,149.3
423,284.1,131.6,284.4,95.1,280.5,148.0
15364,286.7,148.7,285.2,109.8,287.7,158.5
425,287.7,149.0,286.6,116.3,288.2,161.6
15384,286.9,148.8,286.2,117.0,287.7,161.9
427,289.4,155.5,290.4,120.5,289.8,165.3
428,289.6,159.7,290.4,122.6,290.2,166.9
429,290.1,161.8,290.6,124.9,291.7,167.8
430,289.2,164.7,291.1,127.0,292.9,169.4
431,290.3,169.0,289.0,134.1,291.4,173.5
4727,287.1,166.6,285.1,142.1,288.3,173.5
432,284.6,167.5,283.6,146.2,288.6,175.0
15279,286.1,166.3,283.7,154.1,290.8,183.8
16049,285.2,171.3,283.3,155.2,290.3,186.0
435,282.6,179.3,282.2,121.6,289.8,181.4
436,276.7,179.6,277.2,129.8,287.3,175.3
437,277.2,182.1,275.6,135.0,290.8,182.0
14647,276.4,181.3,273.6,139.9,289.6,182.3
439,278.2,183.9,274.6,145.9,288.7,186.0
440,281.1,187.9,276.5,156.0,289.0,195.3
12754,281.6,197.6,276.8,166.6,290.0,197.8
442,289.0,195.6,278.7,174.6,293.3,198.2
443,291.9,200.3,273.9,190.1,288.6,184.6
445,307.0,240.5,283.0,213.6,296.2,205.8
446,310.4,241.6,286.1,220.1,300.6,207.7
18122,312.6,243.5,287.8,219.6,303.2,214.2
448,314.1,246.1,288.0,245.7,300.7,235.3
1119,311.0,239.2,290.6,250.8,299.5,238.5
1120,309.6,238.6,288.0,244.9,297.0,235.6
1121,308.2,232.0,284.2,243.4,294.8,235.6
3953,306.1,230.7,284.1,242.6,296.3,233.2
3954,304.4,226.3,284.2,244.2,296.7,228.4
8613,307.2,217.5,286.3,250.2,295.7,241.5
