stop,mean1,std1,mean2,std2,mean3,std3
386-388,40.5,14.9,42.1,14.5,41.4,16.2
388-389,23.7,8.0,24.6,8.8,24.1,8.3
389-390,22.2,6.6,23.6,5.8,22.4,5.5
390-391,19.2,4.7,20.9,5.1,20.7,4.8
391-14956,56.1,20.1,55.9,23.6,56.2,18.3
14956-393,16.2,4.6,15.6,4.6,16.9,5.1
393-394,18.6,4.7,17.7,3.9,18.2,4.1
394-395,29.9,10.5,29.6,11.3,32.3,11.8
395-396,28.9,6.5,29.1,7.1,28.2,6.8
396-397,38.7,3.6,37.3,3.4,37.7,3.6
397-17169,43.9,13.9,45.8,16.3,45.7,14.1
17169-17162,40.9,5.3,41.3,5.2,40.7,6.1
17162-14959,71.1,21.3,68.6,19.8,67.4,21.1
14959-402,30.4,3.6,31.2,3.8,31.7,4.0
402-403,25.7,4.3,24.8,3.6,25.5,3.7
403-17163,37.8,10.2,39.2,10.6,38.6,9.0
17163-15848,52.8,15.0,57.1,14.0,57.4,16.7
15848-406,30.8,5.5,31.0,4.6,31.6,5.8
406-14500,42.7,14.4,45.9,15.6,41.8,14.5
14500-15852,54.9,19.1,55.6,18.6,54.6,20.8
15852-409,28.7,8.5,30.6,9.9,29.3,8.1
409-18047,77.6,29.2,79.6,30.3,86.9,34.8
18047-17841,66.2,21.5,70.1,23.6,65.2,22.3
17841-412,51.2,7.2,48.8,6.6,50.5,7.6
412-413,38.5,11.3,38.3,12.7,41.1,15.3
413-14764,64.9,22.1,62.5,22.3,58.2,20.0
14764-415,32.3,7.9,32.7,8.7,33.4,8.3
415-416,50.0,19.5,50.1,18.6,51.4,21.1
416-417,50.0,13.0,50.1,11.0,47.7,10.4
417-15185,38.3,16.0,39.1,16.3,40.4,19.6
15185-16110,39.3,6.6,39.7,7.0,38.0,6.4
16110-420,46.9,16.0,44.6,15.0,44.5,13.4
420-421,18.0,3.9,18.4,4.2,18.0,3.9
421-16088,20.4,7.8,20.7,7.9,21.3,6.0
16088-423,33.6,10.5,32.7,9.8,33.6,10.3
423-15364,148.6,44.0,149.8,35.8,142.6,38.2
15364-425,68.5,21.0,63.4,22.0,62.8,17.6
425-15384,37.8,5.5,38.2,4.9,38.0,5.0
15384-427,35.7,13.0,35.4,13.8,35.0,12.1
427-428,39.9,9.7,39.7,6.9,40.6,7.2
428-429,33.3,12.4,30.0,8.4,30.6,10.1
429-430,33.2,11.4,33.2,12.0,34.2,13.5
430-431,69.3,26.2,71.7,26.4,75.2,25.9
431-4727,76.4,28.4,76.9,29.6,72.1,26.2
4727-432,90.6,18.4,92.1,17.5,91.1,16.4
432-15279,61.2,24.4,55.9,20.6,62.1,22.2
15279-16049,24.0,7.5,24.7,9.1,23.9,9.4
16049-435,60.5,20.7,60.5,21.4,58.2,16.6
435-436,71.1,32.2,70.3,38.3,74.2,35.6
436-437,61.0,15.9,63.8,18.8,61.5,18.5
437-14647,70.4,17.4,69.3,16.6,66.9,15.1
14647-439,48.9,18.2,54.4,17.6,51.5,18.5
439-440,92.0,25.3,93.9,25.8,90.2,24.0
440-12754,49.4,16.7,50.7,18.1,48.0,18.6
12754-442,105.5,39.5,99.1,32.3,105.6,36.1
442-443,146.5,44.0,147.8,45.9,144.1,43.1
443-445,223.0,77.4,211.8,74.1,214.1,66.7
445-446,75.8,17.2,78.2,22.3,76.5,17.6
446-18122,88.0,15.7,89.2,18.1,87.3,13.9
18122-448,129.2,73.9,123.7,72.7,131.6,75.5
448-1119,179.3,31.5,175.7,25.2,180.7,27.5
1119-1120,62.6,21.8,62.1,27.1,66.9,25.6
1120-1121,54.7,23.6,55.0,22.5,52.6,21.6
1121-3953,71.2,19.1,66.6,17.5,64.1,16.1
3953-3954,35.1,18.8,28.5,11.5,30.2,15.0
3954-8613,137.3,59.5,149.0,80.0,137.5,71.1
