 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec,  skip 
911214020 {
15852 26404.5 26404.5 9 0 0 0 0 0
409 26428.4 26434.6 8 0 1 0 0 0
18047 26492.0 26500.1 9 1 0 0 0 0
17841 26553.1 26564.3 11 2 0 0 0 0
412 26617.6 26617.6 11 0 0 0 0 0
413 26645.2 26645.2 11 0 0 0 0 0
14764 26681.1 26688.5 9 0 2 0 0 0
415 26723.4 26723.4 9 0 0 0 0 0
416 26751.1 26758.5 7 0 2 0 0 0
417 26809.8 26809.8 7 0 0 0 0 0
15185 26852.1 26852.1 7 0 0 0 0 0
16110 26913.5 26913.5 7 0 0 0 0 0
420 26972.5 26980.6 8 1 0 0 0 0
421 27005.1 27005.1 8 0 0 0 0 0
16088 27028.0 27028.0 8 0 0 0 0 0
423 27072.8 27072.8 8 0 0 0 0 0
15364 27218.6 27226.7 7 1 2 0 0 0
425 27303.4 27303.4 7 0 0 0 0 0
15384 27335.2 27335.2 7 0 0 0 0 0
427 27382.8 27390.9 8 1 0 0 0 0
428 27435.5 27443.6 9 1 0 0 0 0
429 27489.8 27489.8 9 0 0 0 0 0
430 27538.6 27538.6 9 0 0 0 0 0
431 27597.9 27597.9 9 0 0 0 0 0
4727 27639.4 27647.5 10 1 0 0 0 0
432 27727.7 27733.9 9 0 1 0 0 0
15279 27816.2 27816.2 9 0 0 0 0 0
16049 27851.4 27859.5 10 1 0 0 0 0
435 27893.1 27904.3 11 2 1 0 0 0
436 27980.1 27980.1 11 0 0 0 0 0
437 28046.2 28046.2 11 0 0 0 0 0
14647 28121.2 28129.3 12 1 0 0 0 0
439 28170.0 28170.0 12 0 0 0 0 0
440 28250.2 28256.4 11 0 1 0 0 0
12754 28306.6 28306.6 11 0 0 0 0 0
442 28354.3 28360.5 10 0 1 0 0 0
443 28473.4 28484.6 11 2 1 0 0 0
445 28653.0 28661.1 10 1 2 0 0 0
446 28753.0 28764.2 10 2 2 0 0 0
18122 28852.6 28860.7 10 1 1 0 0 0
     }
- - - - - -
911377020 {
403 26429.8 26439.8 5 0 0 0 10 0
17163 26475.4 26475.4 5 0 0 0 0 0
15848 26539.6 26547.7 6 1 0 0 0 0
406 26585.8 26585.8 6 0 0 0 0 0
14500 26628.5 26638.5 6 0 0 0 10 0
15852 26714.9 26714.9 6 0 0 0 0 0
409 26737.7 26743.9 5 0 1 0 0 0
18047 26817.5 26817.5 5 0 0 0 0 0
17841 26853.3 26853.3 5 0 0 0 0 0
412 26914.3 26914.3 5 0 0 0 0 0
413 26943.9 26983.9 5 0 0 0 40 0
14764 27028.2 27034.4 4 0 1 0 0 0
415 27086.2 27086.2 4 0 0 0 0 0
416 27138.0 27144.2 3 0 1 0 0 0
417 27201.9 27210.0 4 1 0 0 0 0
15185 27237.5 27245.6 5 1 0 0 0 0
16110 27289.4 27289.4 5 0 0 0 0 1
420 27340.7 27348.8 6 1 0 0 0 0
421 27369.8 27381.0 8 2 0 0 0 0
