 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec 
911214020 {
409 26427.3 26438.5 9 2 1 0 0
18047 26506.0 26514.1 10 1 0 0 0
17841 26549.7 26549.7 10 0 0 0 0
412 26616.9 26616.9 10 0 0 0 0
413 26653.4 26653.4 10 0 0 0 0
14764 26703.7 26711.1 8 0 2 0 0
415 26751.5 26751.5 8 0 0 0 0
416 26793.2 26801.3 8 1 1 0 0
417 26854.2 26854.2 8 0 0 0 0
15185 26907.1 26915.2 9 1 0 0 0
16110 26967.9 26967.9 9 0 0 0 0
420 27021.0 27029.1 9 1 1 0 0
421 27055.8 27055.8 9 0 0 0 0
16088 27087.2 27095.3 10 1 0 0 0
423 27122.0 27122.0 10 0 0 0 0
15364 27270.1 27278.2 9 1 2 0 0
425 27356.1 27356.1 9 0 0 0 0
15384 27406.6 27420.9 12 3 0 0 0
427 27471.6 27471.6 12 0 0 0 0
428 27518.8 27525.0 11 0 1 0 0
429 27578.0 27578.0 11 0 0 0 0
430 27621.2 27621.2 11 0 0 0 0
431 27681.7 27681.7 11 0 0 0 0
4727 27729.4 27737.5 12 1 0 0 0
432 27826.8 27833.0 11 0 1 0 0
15279 27902.6 27902.6 11 0 0 0 0
16049 27936.1 27936.1 11 0 0 0 0
435 27982.6 27982.6 11 0 0 0 0
436 28046.6 28057.8 13 2 0 0 0
437 28121.6 28121.6 13 0 0 0 0
14647 28214.0 28214.0 13 0 0 0 0
439 28256.1 28256.1 13 0 0 0 0
440 28330.3 28336.5 12 0 1 0 0
12754 28387.2 28387.2 12 0 0 0 0
442 28442.4 28453.6 13 2 1 0 0
443 28567.6 28578.8 14 2 1 0 0
445 28738.1 28745.5 12 0 2 0 0
446 28821.9 28830.5 9 0 3 0 0
     }
- - - - - -
911377020 {
403 26404.3 26412.4 6 1 0 0 0
17163 26450.0 26450.0 6 0 0 0 0
15848 26517.7 26525.8 7 1 0 0 0
406 26569.7 26569.7 7 0 0 0 0
14500 26624.7 26624.7 7 0 0 0 0
15852 26682.0 26682.0 7 0 0 0 0
409 26709.9 26716.1 6 0 1 0 0
18047 26782.7 26782.7 6 0 0 0 0
17841 26821.6 26821.6 6 0 0 0 0
412 26865.0 26865.0 6 0 0 0 0
413 26900.4 26940.4 6 0 0 0 40
14764 26981.6 26987.8 5 0 1 0 0
415 27019.4 27019.4 5 0 0 0 0
416 27071.3 27077.5 4 0 1 0 0
417 27154.5 27154.5 4 0 0 0 0
15185 27187.0 27187.0 4 0 0 0 0
16110 27249.3 27289.3 5 1 0 0 40
420 27336.8 27336.8 5 0 0 0 0
421 27358.5 27358.5 5 0 0 0 0
16088 27386.5 27394.6 6 1 0 0 0
423 27429.5 27437.6 7 1 0 0 0
15364 27550.9 27571.4 10 5 2 0 0
425 27652.6 27669.3 10 0 0 0 16.70649803201377
15384 27714.2 27722.3 11 1 0 0 0
427 27746.5 27746.5 11 0 0 0 0
428 27792.7 27800.8 11 1 1 0 0
429 27847.4 27847.4 11 0 0 0 0
430 27885.7 27885.7 11 0 0 0 0
431 27938.5 27978.5 11 0 0 0 40
4727 28031.4 28031.4 11 0 0 0 0
432 28105.9 28117.1 12 2 1 0 0
15279 28211.0 28211.0 12 0 0 0 0
16049 28244.0 28244.0 12 0 0 0 0
435 28284.9 28296.1 14 2 0 0 0
436 28353.0 28359.2 13 0 1 0 0
437 28433.5 28441.6 14 1 0 0 0
14647 28506.0 28514.1 15 1 0 0 0
439 28561.8 28561.8 15 0 0 0 0
440 28650.3 28658.4 15 1 1 0 0
12754 28706.2 28706.2 15 0 0 0 0
442 28763.9 28770.1 14 0 1 0 0
     }
- - - - - -
911283020 {
17169 26430.4 26441.6 7 2 0 0 0
17162 26496.0 26504.1 8 1 0 0 0
