1 {
386 25281.72 1
388 25382.28 1
389 25404.7 2
390 25426.41 2
391 25444.14 2
14956 25473.76 2
393 25514.8 2
394 25545.97 3
395 25586.77 3
396 25623.2 3
397 25682.23 6
17169 25793.62 6
17162 25873.06 6
14959 25967.81 5
402 26041.52 5
403 26074.88 5
17163 26115.4 6
15848 26181.64 7
406 26226.06 7
14500 26288.04 7
15852 26372.18 7
409 26407.86 8
18047 26487.42 8
17841 26541.68 8
412 26585.0 8
413 26626.44 9
14764 26722.32 9
415 26767.42 8
416 26851.47 9
417 26919.39 9
15185 26953.04 9
16110 27009.06 9
420 27051.26 9
421 27082.7 9
16088 27107.78 9
423 27138.74 10
15364 27274.48 10
425 27362.91 10
15384 27405.4 11
427 27463.05 11
428 27496.1 11
429 27528.43 11
430 27563.7 11
431 27610.25 10
4727 27653.53 10
432 27767.21 10
15279 27834.07 10
16049 27879.96 11
435 27970.09 13
436 28053.9 12
437 28130.05 13
14647 28202.18 13
439 28253.54 13
440 28356.69 12
12754 28431.24 12
442 28531.84 11
443 28728.39 11
445 29044.85 11
446 29127.88 9
18122 29255.42 12
448 29348.97 6
1119 29471.39 5
1120 29542.18 4
1121 29608.79 4
3953 29688.76 3
3954 29727.56 3
8613 29925.46 0
     }
- - - - - -
2 {
386 25506.21 0
388 25604.29 1
389 25643.96 2
390 25683.42 2
391 25703.76 3
14956 25798.76 3
393 25819.85 3
394 25858.38 5
395 25880.01 5
396 25908.91 6
397 25963.97 7
17169 26003.67 7
17162 26055.96 7
14959 26153.45 7
402 26205.16 7
403 26232.74 7
17163 26247.25 7
15848 26324.35 7
406 26361.29 7
14500 26423.95 6
15852 26493.09 6
409 26560.37 8
18047 26645.49 8
17841 26735.27 8
412 26805.29 7
413 26849.39 7
14764 26893.7 6
415 26956.21 5
416 27017.54 5
417 27078.12 5
15185 27122.39 5
16110 27154.88 5
420 27195.97 5
421 27220.04 5
16088 27240.83 5
423 27280.37 7
15364 27397.36 6
425 27461.08 6
15384 27497.02 6
427 27560.64 6
428 27596.61 6
429 27661.62 6
430 27695.82 6
431 27772.07 6
4727 27835.2 6
432 27979.24 6
15279 28035.8 9
16049 28070.16 9
435 28132.47 9
436 28204.39 8
437 28251.68 9
14647 28304.06 9
439 28366.85 9
440 28475.31 9
12754 28550.87 9
442 28772.09 8
443 28878.6 7
445 29090.49 6
446 29188.19 5
18122 29307.94 5
448 29430.16 3
1119 29569.33 2
1120 29639.57 2
1121 29705.81 2
3953 29790.84 1
3954 29838.24 1
8613 30010.13 0
     }
- - - - - -
3 {
386 25846.6 0
388 25915.25 0
389 25943.52 0
390 25973.73 0
391 25994.06 1
14956 26050.07 5
393 26108.97 5
394 26128.09 5
395 26180.07 6
396 26218.74 7
397 26278.29 8
17169 26422.06 11
17162 26465.59 12
14959 26541.0 13
402 26605.05 15
403 26639.65 14
17163 26678.57 15
15848 26736.45 17
406 26790.08 17
14500 26818.45 16
15852 26893.49 16
409 26944.68 15
18047 27056.68 14
17841 27128.7 17
412 27208.98 17
413 27246.35 18
14764 27328.82 17
415 27357.9 17
416 27411.94 17
417 27534.66 17
15185 27599.79 17
16110 27652.45 16
420 27721.51 18
421 27761.19 19
16088 27794.0 21
423 27829.79 21
15364 27975.6 21
425 28032.59 23
15384 28075.42 24
427 28116.03 24
428 28179.13 23
429 28207.05 23
430 28239.1 23
431 28306.64 23
4727 28422.03 28
432 28503.49 26
15279 28614.72 26
16049 28648.52 26
435 28715.15 31
436 28790.58 35
437 28874.71 38
14647 28938.95 39
439 29008.39 40
440 29134.03 43
12754 29170.95 43
442 29293.36 41
443 29460.31 49
445 29675.68 44
446 29777.64 34
18122 29876.48 33
448 30129.74 14
1119 30340.21 8
1120 30420.05 7
1121 30468.49 7
3953 30531.07 6
3954 30563.42 6
8613 30763.19 0
     }
- - - - - -
4 {
386 26100.0 0
388 26231.8 1
389 26260.86 1
390 26286.01 1
391 26305.09 1
14956 26379.47 2
393 26416.06 2
394 26436.98 2
395 26467.39 2
396 26494.96 2
397 26553.49 3
17169 26607.49 4
17162 26656.26 4
14959 26779.79 4
402 26833.27 4
403 26876.75 5
17163 26921.97 5
15848 26990.51 6
406 27038.05 5
14500 27090.78 5
15852 27183.66 5
409 27218.08 5
18047 27369.28 6
17841 27433.59 7
412 27495.28 7
413 27552.04 7
14764 27645.37 7
415 27726.63 8
416 27763.13 6
417 27831.12 5
15185 27864.11 5
16110 27911.93 5
420 27951.02 6
421 27971.01 6
16088 27998.56 6
423 28030.32 6
15364 28158.3 8
425 28237.25 10
15384 28320.13 10
427 28355.76 12
428 28460.83 14
429 28527.34 17
430 28571.71 18
431 28657.44 17
4727 28738.19 18
432 28863.44 18
15279 28918.57 19
16049 28958.01 23
435 29043.56 22
436 29095.97 25
437 29168.68 28
14647 29264.0 31
439 29325.44 35
440 29502.97 38
12754 29592.75 39
442 29695.75 38
443 29983.19 36
445 30246.23 30
446 30311.31 24
18122 30488.59 23
448 30667.15 10
1119 30762.52 8
1120 30836.0 7
1121 30891.97 7
3953 30947.52 6
3954 30977.25 6
8613 31117.55 0
     }
- - - - - -
5 {
386 26519.7 2
388 26622.69 3
