trip_id,stop_id,arr_t,dep_t,pax_load,ons,offs,denied,hold_time,skipped,replication,arr_sec,dep_sec,dwell_sec
911004030,386,7:29:30,7:29:55,4,4,0,0,25,0,1,26970,26995,25
911004030,388,7:31:04,7:31:12,5,1,0,0,0,0,1,27064,27072,8
911004030,389,7:31:26,7:31:34,6,1,0,0,0,0,1,27086,27094,8
911004030,390,7:31:52,7:31:52,6,0,0,0,0,0,1,27112,27112,0
911004030,391,7:32:14,7:32:22,7,1,0,0,0,0,1,27134,27142,8
911004030,14956,7:33:34,7:33:46,8,2,1,0,0,0,1,27214,27226,12
911004030,393,7:34:01,7:34:01,8,0,0,0,0,0,1,27241,27241,0
911004030,394,7:34:22,7:34:32,9,1,0,0,0,0,1,27262,27272,10
911004030,395,7:35:08,7:35:19,11,2,0,0,0,0,1,27308,27319,11
911004030,396,7:35:40,7:35:58,16,5,0,0,0,0,1,27340,27358,18
911004030,397,7:36:35,7:36:50,18,4,2,0,0,0,1,27395,27410,15
911004030,17169,7:37:41,7:37:52,19,1,0,0,0,0,1,27461,27472,11
911004030,17162,7:38:27,7:38:36,19,1,1,0,0,0,1,27507,27516,9
911004030,14959,7:39:43,7:39:51,19,1,1,0,0,0,1,27583,27591,8
911004030,402,7:40:15,7:40:15,19,0,0,0,0,0,1,27615,27615,0
911004030,403,7:40:36,7:40:36,19,0,0,0,0,0,1,27636,27636,0
911004030,17163,7:41:06,7:41:16,21,2,0,0,0,0,1,27666,27676,10
911004030,15848,7:42:12,7:42:12,21,0,0,0,0,0,1,27732,27732,0
911004030,406,7:42:36,7:43:01,20,2,3,0,25,0,1,27756,27781,25
911004030,14500,7:43:40,7:43:40,20,0,0,0,0,0,1,27820,27820,0
911004030,15852,7:44:51,7:44:51,20,0,0,0,0,0,1,27891,27891,0
911004030,409,7:45:37,7:45:46,19,1,2,0,0,0,1,27937,27946,9
911004030,18047,7:46:48,7:46:48,19,0,0,0,0,0,1,28008,28008,0
911004030,17841,7:48:05,7:48:16,20,2,1,0,0,0,1,28085,28096,10
911004030,412,7:49:02,7:49:11,19,0,1,0,0,0,1,28142,28151,9
911004030,413,7:49:38,7:49:38,19,0,0,0,0,0,1,28178,28178,0
911004030,14764,7:50:47,7:51:05,12,1,8,0,0,0,1,28247,28265,18
911004030,415,7:51:39,7:51:39,12,0,0,0,0,0,1,28299,28299,0
911004030,416,7:52:18,7:52:33,6,0,6,0,0,0,1,28338,28353,15
911004030,417,7:53:34,7:53:34,6,0,0,0,0,0,1,28414,28414,0
911004030,15185,7:53:49,7:53:49,6,0,0,0,0,0,1,28429,28429,0
911004030,16110,7:54:28,7:54:37,7,1,0,0,0,0,1,28468,28477,10
911004030,420,7:55:06,7:55:17,9,2,0,0,0,0,1,28506,28517,11
911004030,421,7:55:31,7:56:21,9,0,0,0,50,0,1,28531,28581,50
911004030,16088,7:56:53,7:56:53,9,0,0,0,0,0,1,28613,28613,0
911004030,423,7:57:24,7:57:24,9,0,0,0,0,0,1,28644,28644,0
911004030,15364,7:59:45,7:59:56,6,0,3,0,0,0,1,28785,28796,10
911004030,425,8:01:38,8:01:48,7,1,0,0,0,0,1,28898,28908,10
911004030,15384,8:02:25,8:02:25,7,0,0,0,0,0,1,28945,28945,0
911004030,427,8:03:02,8:03:14,5,2,4,0,0,0,1,28982,28994,12
911004030,428,8:03:58,8:04:06,6,1,0,0,0,0,1,29038,29046,8
911004030,429,8:04:22,8:04:22,6,0,0,0,0,0,1,29062,29062,0
911004030,430,8:04:46,8:04:46,6,0,0,0,0,0,1,29086,29086,0
911004030,431,8:05:39,8:05:39,6,0,0,0,0,0,1,29139,29139,0
911004030,4727,8:07:08,8:07:08,6,0,0,0,0,0,1,29228,29228,0
911004030,432,8:08:34,8:08:34,6,0,0,0,0,0,1,29314,29314,0
911004030,15279,8:10:19,8:10:19,6,0,0,0,0,0,1,29419,29419,0
911004030,16049,8:10:47,8:11:37,6,0,0,0,50,0,1,29447,29497,50
911004030,435,8:13:01,8:13:01,6,0,0,0,0,0,1,29581,29581,0
911004030,436,8:14:34,8:14:47,8,3,1,0,0,0,1,29674,29687,13
911004030,437,8:15:34,8:15:48,11,3,0,0,0,0,1,29734,29748,14
911004030,14647,8:17:03,8:17:16,13,2,0,0,0,0,1,29823,29836,13
911004030,439,8:18:22,8:18:32,15,2,0,0,0,0,1,29902,29912,10
911004030,440,8:19:57,8:20:10,18,3,0,0,0,0,1,29997,30010,13
911004030,12754,8:20:33,8:20:43,19,1,0,0,0,0,1,30033,30043,11
911004030,442,8:21:48,8:21:56,20,1,0,0,0,0,1,30108,30116,8
911004030,443,8:24:09,8:24:27,24,7,3,0,0,0,1,30249,30267,18
911004030,445,8:27:12,8:27:25,20,1,5,0,0,0,1,30432,30445,14
911004030,446,8:28:12,8:28:30,12,0,8,0,0,0,1,30492,30510,18
911004030,18122,8:29:51,8:30:10,4,0,8,0,0,0,1,30591,30610,19
911004030,448,8:32:05,8:32:15,5,1,0,0,0,0,1,30725,30735,10
911004030,1119,8:34:29,8:34:38,3,0,2,0,0,0,1,30869,30878,9
911004030,1120,8:36:05,8:36:05,3,0,0,0,0,0,1,30965,30965,0
911004030,1121,8:36:58,8:36:58,3,0,0,0,0,0,1,31018,31018,0
911004030,3953,8:38:26,8:38:33,2,0,1,0,0,0,1,31106,31113,8
911004030,3954,8:38:44,8:38:44,2,0,0,0,0,0,1,31124,31124,0
911004030,8613,8:40:30,8:40:41,0,0,2,0,0,0,1,31230,31241,11
911457020,386,7:34:00,7:34:25,1,1,0,0,25,0,1,27240,27265,25
911457020,388,7:34:56,7:34:56,1,0,0,0,0,0,1,27296,27296,0
911457020,389,7:35:22,7:35:32,2,1,0,0,0,0,1,27322,27332,10
911457020,390,7:35:52,7:36:03,3,1,0,0,0,0,1,27352,27363,11
911457020,391,7:36:22,7:36:33,5,2,0,0,0,0,1,27382,27393,11
911457020,14956,7:37:16,7:37:31,8,3,0,0,0,0,1,27436,27451,14
911457020,393,7:37:42,7:37:42,8,0,0,0,0,0,1,27462,27462,0
911457020,394,7:38:00,7:38:00,8,0,0,0,0,0,1,27480,27480,0
911457020,395,7:38:30,7:38:30,8,0,0,0,0,0,1,27510,27510,0
911457020,396,7:38:56,7:38:56,8,0,0,0,0,0,1,27536,27536,0
911457020,397,7:39:38,7:39:48,7,1,2,0,0,0,1,27578,27588,10
911457020,17169,7:40:23,7:40:23,7,0,0,0,0,0,1,27623,27623,0
911457020,17162,7:40:57,7:41:10,10,3,0,0,0,0,1,27657,27670,13
911457020,14959,7:42:32,7:42:39,9,0,1,0,0,0,1,27752,27759,8
911457020,402,7:43:12,7:43:12,9,0,0,0,0,0,1,27792,27792,0
911457020,403,7:43:54,7:43:54,9,0,0,0,0,0,1,27834,27834,0
911457020,17163,7:44:29,7:44:29,9,0,0,0,0,0,1,27869,27869,0
911457020,15848,7:45:50,7:45:58,10,1,0,0,0,0,1,27950,27958,8
911457020,406,7:46:38,7:47:28,9,0,1,0,50,0,1,27998,28048,50
911457020,14500,7:47:56,7:47:56,9,0,0,0,0,0,1,28076,28076,0
911457020,15852,7:49:04,7:49:12,8,0,1,0,0,0,1,28144,28152,8
911457020,409,7:49:41,7:49:53,8,2,2,0,0,0,1,28181,28193,12
911457020,18047,7:51:29,7:51:29,8,0,0,0,0,0,1,28289,28289,0
911457020,17841,7:52:10,7:52:20,9,1,0,0,0,0,1,28330,28340,10
911457020,412,7:53:08,7:53:08,9,0,0,0,0,0,1,28388,28388,0
911457020,413,7:54:34,7:54:42,10,1,0,0,0,0,1,28474,28482,8
911457020,14764,7:55:36,7:55:45,10,1,1,0,0,0,1,28536,28545,8
911457020,415,7:56:25,7:56:25,10,0,0,0,0,0,1,28585,28585,0
911457020,416,7:56:56,7:57:06,8,0,2,0,0,0,1,28616,28626,10
911457020,417,7:58:03,7:58:14,9,1,0,0,0,0,1,28683,28694,10
911457020,15185,7:58:29,7:58:29,9,0,0,0,0,0,1,28709,28709,0
911457020,16110,7:59:17,7:59:26,7,0,2,0,0,0,1,28757,28766,9
911457020,420,8:00:31,8:00:44,10,3,0,0,0,0,1,28831,28844,13
911457020,421,8:01:01,8:01:01,10,0,0,0,0,0,1,28861,28861,0
911457020,16088,8:01:17,8:01:17,10,0,0,0,0,0,1,28877,28877,0
911457020,423,8:01:53,8:01:53,10,0,0,0,0,0,1,28913,28913,0
911457020,15364,8:04:10,8:04:21,12,2,0,0,0,0,1,29050,29061,11
911457020,425,8:05:08,8:05:08,12,0,0,0,0,0,1,29108,29108,0
911457020,15384,8:05:49,8:05:49,12,0,0,0,0,0,1,29149,29149,0
911457020,427,8:06:34,8:06:44,10,1,3,0,0,0,1,29194,29204,10
911457020,428,8:07:20,8:07:20,10,0,0,0,0,0,1,29240,29240,0
911457020,429,8:07:43,8:07:43,10,0,0,0,0,0,1,29263,29263,0
911457020,430,8:08:13,8:08:13,10,0,0,0,0,0,1,29293,29293,0
911457020,431,8:10:37,8:10:37,10,0,0,0,0,0,1,29437,29437,0
911457020,4727,8:12:02,8:12:09,9,0,1,0,0,0,1,29522,29529,8
911457020,432,8:14:18,8:14:26,10,1,0,0,0,0,1,29658,29666,8
911457020,15279,8:16:29,8:16:39,8,0,2,0,0,0,1,29789,29799,10
911457020,16049,8:16:58,8:16:58,8,0,0,1,0,1,1,29818,29818,0
911457020,435,8:19:25,8:19:38,11,3,0,0,0,0,1,29965,29978,13
911457020,436,8:22:48,8:23:01,12,3,2,0,0,0,1,30168,30181,14
911457020,437,8:24:14,8:24:23,13,1,0,0,0,0,1,30254,30263,8
911457020,14647,8:25:38,8:25:50,15,2,0,0,0,0,1,30338,30350,13
911457020,439,8:26:13,8:26:25,18,3,0,0,0,0,1,30373,30385,12
911457020,440,8:27:54,8:28:02,18,1,1,0,0,0,1,30474,30482,8
911457020,12754,8:28:44,8:28:55,20,2,0,0,0,0,1,30524,30535,10
911457020,442,8:30:13,8:30:26,20,2,2,0,0,0,1,30613,30626,13
911457020,443,8:34:30,8:34:54,27,9,2,0,0,0,1,30870,30894,24
911457020,445,8:38:19,8:38:36,20,0,7,0,0,0,1,31099,31116,16
911457020,446,8:40:11,8:40:27,14,0,6,0,0,0,1,31211,31227,16
911457020,18122,8:42:25,8:42:46,6,2,10,0,0,0,1,31345,31366,21
911457020,448,8:45:45,8:46:00,4,4,6,0,0,0,1,31545,31560,15
911457020,1119,8:47:18,8:47:30,2,0,2,0,0,0,1,31638,31650,12
911457020,1120,8:48:39,8:48:48,1,0,1,0,0,0,1,31719,31728,9
911457020,1121,8:50:25,8:50:25,1,0,0,0,0,0,1,31825,31825,0
911457020,3953,8:51:03,8:51:03,1,0,0,0,0,0,1,31863,31863,0
911457020,3954,8:51:24,8:51:24,1,0,0,0,0,0,1,31884,31884,0
911457020,8613,8:52:03,8:52:12,0,0,1,0,0,0,1,31923,31932,10
910579020,386,7:38:30,7:38:55,3,3,0,0,25,0,1,27510,27535,25
910579020,388,7:39:42,7:39:57,6,3,0,0,0,0,1,27582,27597,14
910579020,389,7:40:38,7:40:38,6,0,0,0,0,0,1,27638,27638,0
910579020,390,7:41:02,7:41:02,6,0,0,0,0,0,1,27662,27662,0
910579020,391,7:41:21,7:41:21,6,0,0,0,0,0,1,27681,27681,0
910579020,14956,7:42:03,7:42:27,13,8,1,0,0,0,1,27723,27747,24
910579020,393,7:42:41,7:42:41,13,0,0,0,0,0,1,27761,27761,0
910579020,394,7:42:56,7:43:04,14,1,0,0,0,0,1,27776,27784,8
910579020,395,7:43:29,7:43:37,13,0,1,0,0,0,1,27809,27817,8
