1 {
386 25457.03 0
388 25511.89 0
389 25534.7 0
390 25563.88 0
391 25593.7 1
14956 25636.72 1
393 25665.68 1
394 25696.47 2
395 25733.96 2
396 25784.9 2
397 25824.77 2
17169 25879.21 2
17162 25960.93 4
14959 26068.62 5
402 26121.69 6
403 26162.46 6
17163 26216.43 6
15848 26302.91 6
406 26341.94 6
14500 26425.77 6
15852 26486.34 6
409 26518.94 7
18047 26613.6 7
17841 26663.77 8
412 26734.37 7
413 26774.85 7
14764 26830.01 8
415 26890.93 7
416 26959.96 8
417 27018.28 8
15185 27051.37 8
16110 27125.1 9
420 27235.18 9
421 27252.51 9
16088 27277.7 9
423 27319.54 9
15364 27435.91 8
425 27541.91 8
15384 27572.34 8
427 27615.8 10
428 27676.37 9
429 27772.55 9
430 27812.94 9
431 27862.09 8
4727 27916.53 10
432 27985.71 9
15279 28052.33 10
16049 28086.96 10
435 28121.95 10
436 28189.52 10
437 28271.35 11
14647 28341.07 11
439 28386.9 11
440 28447.93 11
12754 28525.33 11
442 28584.52 10
443 28700.33 9
445 28897.17 9
446 29040.3 7
18122 29156.52 7
448 29261.86 4
1119 29389.87 3
1120 29473.32 3
1121 29537.38 3
3953 29604.82 3
3954 29679.77 3
8613 29817.06 0
     }
- - - - - -
2 {
386 25781.2 2
388 25831.93 3
389 25857.13 3
390 25880.63 3
391 25924.4 1
14956 26075.4 3
393 26143.48 3
394 26168.29 3
395 26213.81 3
396 26241.27 3
397 26312.36 3
17169 26378.59 3
17162 26441.82 4
14959 26543.07 4
402 26587.45 4
403 26624.78 6
17163 26665.72 7
15848 26752.94 9
406 26793.91 12
14500 26871.94 12
15852 26925.91 12
409 26961.31 12
18047 27040.18 11
17841 27104.16 13
412 27198.14 14
413 27240.21 15
14764 27325.87 17
415 27380.69 17
416 27479.41 13
417 27545.5 14
15185 27579.45 14
16110 27604.85 14
420 27672.18 17
421 27704.04 20
16088 27740.65 22
423 27778.11 22
15364 27914.28 19
425 27954.53 19
15384 28005.49 21
427 28084.84 23
428 28145.5 22
429 28208.38 22
430 28258.7 22
431 28331.67 22
4727 28390.85 22
432 28510.76 24
15279 28585.97 24
16049 28628.04 27
435 28712.43 31
436 28783.67 33
437 28909.08 32
14647 28970.71 34
439 29033.01 36
440 29153.61 34
12754 29206.01 34
442 29322.71 32
443 29482.75 31
445 29675.28 28
446 29776.88 22
18122 29898.52 23
448 30090.07 12
1119 30293.41 8
1120 30344.65 7
1121 30388.31 7
3953 30464.5 6
3954 30517.31 6
8613 30794.9 0
     }
- - - - - -
3 {
386 26035.01 1
388 26071.22 1
389 26107.21 1
390 26130.1 1
391 26149.91 2
14956 26214.09 2
393 26276.77 2
394 26304.06 3
395 26370.27 3
396 26406.61 3
397 26473.79 3
17169 26513.24 3
17162 26591.0 3
14959 26703.59 2
402 26769.01 2
403 26793.15 2
17163 26826.07 2
15848 26900.44 3
406 26948.21 3
14500 26985.09 3
15852 27044.75 3
409 27081.44 3
18047 27156.49 3
17841 27211.81 3
412 27270.52 3
413 27350.33 3
14764 27393.55 3
415 27451.68 3
416 27502.73 2
417 27614.29 2
15185 27637.68 2
16110 27736.54 2
420 27784.92 2
421 27820.5 2
16088 27857.3 2
423 27912.72 2
15364 28093.26 5
425 28171.46 8
15384 28208.83 10
427 28258.18 10
428 28311.13 10
429 28342.37 10
430 28376.82 10
431 28418.32 10
4727 28473.79 11
432 28548.38 10
15279 28649.69 10
16049 28687.98 10
435 28734.47 10
436 28819.09 10
437 28898.15 11
14647 28967.89 11
439 29026.61 11
440 29125.24 12
12754 29171.55 12
442 29233.92 11
443 29369.09 15
445 29705.51 13
446 29808.7 11
18122 29899.37 10
448 30089.11 3
1119 30266.69 2
1120 30380.45 2
1121 30410.01 2
3953 30484.54 2
3954 30515.3 2
8613 30704.31 0
     }
- - - - - -
4 {
386 26220 0
388 26278.1 1
389 26346.88 1
390 26375.18 1
391 26418.93 3
14956 26472.96 4
393 26534.17 4
394 26560.61 6
395 26617.01 6
396 26665.72 6
397 26746.47 7
17169 26810.31 10
17162 26855.59 10
14959 26911.17 10
402 26950.74 10
403 26981.12 10
17163 27012.99 10
15848 27125.65 10
406 27171.04 11
14500 27241.3 12
15852 27302.83 12
409 27350.18 11
18047 27448.59 12
17841 27489.01 12
412 27626.2 12
413 27671.16 12
14764 27717.73 11
415 27758.55 11
416 27819.46 10
417 27918.68 11
15185 27978.98 10
16110 28025.06 10
420 28088.23 10
421 28110.4 10
16088 28128.44 10
423 28157.11 10
15364 28331.23 9
425 28431.74 9
15384 28469.02 8
427 28518.07 11
428 28560.48 10
429 28603.92 11
430 28631.51 11
431 28681.79 11
4727 28774.19 10
432 28843.43 12
15279 28897.27 12
16049 28928.36 14
435 29051.2 18
436 29234.01 24
437 29286.0 25
14647 29403.12 30
439 29459.21 30
440 29598.59 35
12754 29680.89 35
442 29767.01 34
443 29936.35 34
445 30200.06 29
446 30298.23 24
18122 30370.65 23
448 30503.92 10
1119 30703.13 8
1120 30771.04 7
1121 30826.82 7
3953 30937.98 6
3954 30975.12 6
8613 31161.14 0
     }
- - - - - -
5 {
386 26512.12 0
388 26598.54 1
389 26636.31 1
390 26667.29 2
391 26695.73 3
14956 26801.44 8
393 26831.68 8
394 26853.55 9
395 26906.37 9
396 26956.91 10
397 26998.58 8
17169 27053.56 9
17162 27162.19 11
14959 27242.43 11
402 27284.52 11
403 27332.2 11
17163 27389.04 11
15848 27422.93 11
406 27468.35 9
14500 27513.28 12
15852 27580.37 13
409 27624.41 12
18047 27728.07 12
17841 27783.84 12
412 27855.56 12
413 27897.98 12
14764 27971.55 12
415 28024.58 12
416 28101.61 10
417 28158.31 10
15185 28199.6 9
16110 28238.36 9
420 28277.71 7
421 28297.64 7
16088 28318.7 7
423 28395.95 7
15364 28519.81 6
425 28617.35 5
15384 28679.48 5
427 28710.46 5
428 28763.61 5
429 28822.32 5
430 28854.35 5
431 28906.15 5
4727 29049.52 5
432 29121.11 5
15279 29262.44 6
16049 29285.89 7
435 29361.14 7
436 29445.57 8
437 29492.91 9
14647 29577.08 9
439 29631.91 9
440 29716.66 8
12754 29782.53 8
442 29875.5 8
443 30019.55 7
445 30156.8 6
446 30260.14 5
18122 30371.2 4
448 30570.07 2
1119 30686.93 2
1120 30793.72 2
1121 30866.87 2
3953 30939.03 2
3954 30976.44 2
8613 31181.85 0
     }
- - - - - -
6 {
386 26700 0
388 26753.42 0
389 26787.0 0
390 26815.71 0
391 26839.33 0
14956 26885.61 0
393 26933.16 0
394 26955.03 0
395 26988.07 0
396 27021.15 0
397 27074.85 0
17169 27119.03 0
17162 27160.05 0
14959 27286.74 0
402 27330.88 0
403 27351.47 0
17163 27410.05 0
15848 27477.76 0
406 27521.03 0
14500 27605.32 0
15852 27655.13 0
409 27711.51 0
18047 27773.68 0
17841 27834.62 0
412 27871.82 0
413 27930.18 0
14764 27987.17 0
415 28025.32 0
416 28060.46 0
417 28113.01 0
15185 28147.23 0
16110 28181.06 0
420 28272.45 0
421 28293.93 0
16088 28316.34 0
423 28350.91 0
15364 28521.22 0
425 28599.13 0
15384 28641.16 0
427 28690.77 1
428 28755.08 2
429 28795.31 2
430 28845.56 3
431 28956.99 3
4727 29024.66 3
432 29115.98 3
15279 29183.51 4
16049 29201.89 4
435 29262.13 5
436 29315.72 5
437 29400.66 6
14647 29513.03 6
439 29568.34 6
440 29677.6 7
12754 29742.25 7
442 29861.85 7
443 29952.57 7
445 30256.85 6
446 30327.55 5
18122 30394.1 4
448 30495.16 1
1119 30627.25 1
1120 30672.98 1
1121 30717.57 1
3953 30794.71 1
3954 30818.74 1
8613 31085.0 0
     }
- - - - - -
7 {
386 27048.71 1
388 27155.49 1
389 27200.54 1
390 27224.73 1
391 27252.44 1
14956 27362.34 5
393 27411.09 6
394 27457.86 11
395 27515.22 12
396 27567.38 16
397 27637.1 15
17169 27709.93 16
17162 27768.5 15
14959 27857.46 19
402 27897.25 19
403 27918.89 19
17163 27988.47 19
15848 28073.47 20
406 28128.34 19
14500 28214.57 18
15852 28269.23 20
409 28315.99 16
18047 28409.34 16
17841 28466.15 18
412 28507.89 18
413 28556.62 18
14764 28659.3 16
415 28706.11 15
416 28776.98 14
417 28833.77 14
15185 28869.78 14
16110 28926.18 14
420 28994.87 13
421 29017.38 13
16088 29040.2 13
423 29075.42 13
15364 29260.47 13
425 29357.57 13
15384 29436.08 20
427 29473.45 20
428 29526.11 19
429 29577.4 20
430 29611.13 21
431 29693.86 20
4727 29810.05 28
432 29960.75 31
15279 30011.37 29
16049 30087.34 40
435 30165.28 40
436 30246.52 40
437 30321.56 40
14647 30386.6 40
439 30424.92 40
440 30524.05 39
12754 30593.52 40
442 30724.76 40
443 30934.83 40
445 31218.49 34
446 31301.69 28
18122 31494.91 26
448 31700.0 13
1119 31820.25 11
1120 31900.16 8
1121 31996.59 7
3953 32050.55 7
3954 32094.25 6
8613 32315.25 0
     }
- - - - - -
8 {
386 27342.79 0
388 27435.18 0
389 27468.36 0
390 27493.06 0
391 27518.02 1
14956 27575.24 1
393 27651.79 1
394 27678.47 2
395 27727.99 2
396 27770.82 4
397 27833.81 4
17169 27881.79 4
17162 27991.51 5
14959 28189.26 7
402 28240.0 6
403 28283.16 6
17163 28325.55 6
15848 28395.18 6
406 28431.52 5
14500 28498.99 4
15852 28564.03 4
409 28620.47 3
18047 28659.84 3
17841 28734.42 3
412 28830.62 3
413 28897.55 3
14764 28966.6 3
415 29007.35 3
416 29057.42 3
417 29151.17 3
15185 29195.98 3
16110 29258.08 3
420 29337.39 3
421 29363.65 3
16088 29383.31 3
423 29424.64 3
15364 29628.83 2
425 29709.38 2
15384 29772.87 3
427 29868.19 4
428 29926.85 6
429 29980.07 6
430 30006.78 6
431 30054.65 6
4727 30122.69 6
432 30273.59 9
15279 30324.66 9
16049 30361.33 11
435 30495.28 12
436 30585.19 14
437 30673.43 13
14647 30760.65 14
439 30844.6 15
440 30950.51 15
12754 31012.9 15
442 31165.47 14
443 31387.22 16
445 31576.22 16
446 31737.73 13
18122 31800.5 12
448 31938.1 5
1119 32070.55 4
1120 32158.58 4
1121 32230.54 3
3953 32276.02 3
3954 32301.91 3
8613 32536.78 0
     }
- - - - - -
9 {
386 27514.88 0
388 27663.3 1
389 27700.16 3
390 27725.51 3
391 27742.45 3
14956 27830.27 5
393 27868.18 5
394 27893.65 7
395 27930.19 7
396 27960.99 7
397 27989.78 7
17169 28061.12 7
17162 28119.38 7
14959 28184.2 7
402 28232.3 6
403 28250.11 6
17163 28304.98 6
15848 28372.8 8
406 28414.66 6
14500 28485.83 5
15852 28554.08 5
409 28608.94 4
18047 28692.58 4
17841 28774.19 4
412 28847.01 4
413 28889.58 4
14764 28928.55 4
415 28952.61 4
416 29029.47 3
417 29072.14 3
15185 29105.11 3
16110 29147.25 6
420 29211.89 5
421 29239.86 5
16088 29256.62 5
423 29300.5 5
15364 29412.51 6
425 29453.14 6
15384 29500.5 6
427 29554.35 6
428 29598.49 5
429 29666.41 5
430 29697.41 5
431 29774.0 5
4727 29846.3 5
432 29988.26 5
15279 30030.98 5
16049 30093.63 8
435 30199.62 18
436 30319.59 22
437 30407.46 23
14647 30504.63 25
439 30551.61 25
440 30686.63 25
12754 30805.0 25
442 30999.58 24
443 31213.33 28
445 31408.75 26
446 31490.02 22
18122 31562.44 21
448 31690.59 8
1119 31839.19 7
1120 31903.97 5
1121 31989.08 4
3953 32032.5 4
3954 32069.58 3
8613 32267.45 0
     }
- - - - - -
10 {
386 27854.86 0
388 28059.91 0
389 28090.97 0
390 28137.16 0
391 28175.51 4
14956 28277.96 4
393 28303.28 4
394 28327.25 5
395 28359.53 5
396 28398.75 7
397 28472.49 7
17169 28536.99 8
17162 28622.07 7
14959 28684.63 6
402 28724.27 6
403 28762.72 6
17163 28803.48 6
15848 28874.25 6
406 28908.56 6
14500 28999.26 6
15852 29054.43 6
409 29102.39 6
18047 29177.0 6
17841 29277.05 6
412 29337.43 6
413 29389.46 6
14764 29457.32 7
415 29508.11 6
416 29565.27 5
417 29627.89 8
15185 29671.3 8
16110 29736.41 8
420 29789.78 7
421 29827.92 7
16088 29846.66 7
423 29902.12 7
15364 30051.9 6
425 30152.24 6
15384 30194.55 7
427 30267.11 8
428 30323.51 8
429 30365.62 8
430 30411.43 8
431 30474.0 8
4727 30550.4 8
432 30611.96 7
15279 30693.25 7
16049 30715.28 7
435 30796.16 7
436 30836.29 7
437 30922.34 7
14647 30977.47 7
439 31066.02 8
440 31161.26 8
12754 31238.11 8
442 31355.13 8
443 31544.71 10
445 31732.86 10
446 31816.08 8
18122 31889.82 8
448 32023.15 3
1119 32115.94 2
1120 32164.42 2
1121 32226.98 2
3953 32317.87 2
3954 32368.55 2
8613 32642.92 0
     }
- - - - - -
11 {
386 28050 0
388 28190.2 0
389 28241.48 2
390 28259.97 2
391 28282.58 2
14956 28340.07 2
393 28354.38 2
394 28374.35 2
395 28412.54 2
396 28454.47 2
397 28531.48 2
17169 28602.48 2
17162 28666.16 2
14959 28730.14 2
402 28798.22 2
403 28827.93 2
17163 28858.3 2
15848 28901.5 2
406 28952.78 2
14500 29030.94 2
15852 29089.0 2
409 29108.67 2
18047 29174.7 2
17841 29271.07 4
412 29364.83 4
413 29409.63 4
14764 29466.22 4
415 29513.42 4
416 29560.09 3
417 29627.85 3
15185 29679.27 3
16110 29719.62 3
420 29762.72 4
421 29792.96 4
16088 29815.59 4
423 29854.24 4
15364 29987.8 5
425 30065.22 5
15384 30099.91 5
427 30151.75 6
428 30219.71 6
429 30249.67 6
430 30275.17 6
431 30383.53 8
4727 30524.89 11
432 30612.58 11
15279 30646.9 11
16049 30691.88 11
435 30768.39 13
436 30837.86 13
437 30918.07 13
14647 31018.58 14
439 31086.41 14
440 31260.1 13
12754 31348.43 13
442 31459.47 12
443 31710.15 10
445 32009.79 9
446 32096.7 7
18122 32191.17 6
448 32335.05 4
1119 32451.39 3
1120 32513.99 2
1121 32555.62 1
3953 32620.23 1
3954 32654.78 1
8613 32770.08 0
     }
- - - - - -
12 {
386 28320 1
388 28500.63 3
389 28523.94 3
390 28553.06 3
391 28579.63 4
14956 28664.68 3
393 28700.48 3
394 28720.88 4
395 28782.94 6
396 28830.61 6
397 28882.79 7
17169 28971.2 7
17162 29036.9 8
14959 29107.7 7
402 29158.31 6
403 29187.63 6
17163 29256.9 7
15848 29334.42 8
406 29398.48 11
14500 29475.33 13
15852 29551.82 14
409 29594.19 13
18047 29691.54 14
17841 29788.7 14
412 29860.46 14
413 29894.1 14
14764 29957.61 11
415 30018.27 11
416 30108.92 12
417 30194.94 15
15185 30227.23 14
16110 30271.69 12
420 30361.73 12
421 30394.76 12
16088 30424.31 13
423 30469.33 13
15364 30562.7 9
425 30647.94 9
15384 30697.31 11
427 30769.11 13
428 30859.94 13
429 30930.95 13
430 30978.97 15
431 31102.87 15
4727 31209.49 21
432 31366.24 24
15279 31443.44 26
16049 31480.41 24
435 31540.21 26
436 31652.34 29
437 31738.24 31
14647 31836.88 33
439 31962.31 33
440 32045.21 32
12754 32118.45 32
442 32233.17 33
443 32418.34 30
445 32688.58 24
446 32794.35 17
18122 32903.81 16
448 33073.85 4
1119 33193.08 3
1120 33222.47 2
1121 33254.45 2
3953 33315.5 2
3954 33345.18 2
8613 33466.43 0
     }
- - - - - -
13 {
386 28640.99 2
388 28706.78 3
389 28731.63 3
390 28748.47 3
391 28777.37 4
14956 28853.32 5
393 28881.68 5
394 28918.63 6
395 28955.35 6
396 28991.02 7
397 29042.38 8
17169 29116.19 9
17162 29162.33 9
14959 29239.06 9
402 29284.0 8
403 29310.53 8
17163 29365.15 10
15848 29452.25 11
406 29541.61 11
14500 29595.24 12
15852 29650.98 12
409 29699.48 11
18047 29806.2 11
17841 29875.44 11
412 29979.49 11
413 30025.24 11
14764 30111.82 11
415 30155.19 11
416 30229.81 10
417 30307.31 10
15185 30337.91 10
16110 30412.23 10
420 30474.65 9
421 30509.29 9
16088 30527.77 9
423 30592.19 9
15364 30780.04 8
425 30907.53 8
15384 30984.27 10
427 31021.42 10
428 31057.72 9
429 31118.09 9
430 31201.27 9
431 31296.49 8
4727 31340.74 7
432 31465.77 7
15279 31543.25 7
16049 31584.31 7
435 31646.25 7
436 31723.62 7
437 31810.02 7
14647 31895.43 7
439 32036.55 7
440 32125.91 7
12754 32201.15 7
442 32329.53 7
443 32666.67 6
445 32981.93 6
446 33097.27 5
18122 33252.88 4
448 33344.28 0
1119 33512.83 0
1120 33563.69 0
1121 33623.77 0
3953 33658.54 0
3954 33693.31 0
8613 33880.01 0
     }
- - - - - -
14 {
386 28893.66 0
388 28984.41 0
389 29013.78 0
390 29044.4 0
391 29066.83 0
14956 29150.51 0
393 29186.35 0
394 29217.16 1
395 29276.81 2
396 29309.18 3
397 29412.68 8
17169 29492.39 8
17162 29515.61 8
14959 29641.53 13
402 29688.05 13
403 29714.16 13
17163 29751.43 12
15848 29835.77 14
406 29888.82 13
14500 29945.12 13
15852 29992.07 14
409 30021.81 12
18047 30147.49 13
17841 30218.68 13
412 30269.08 13
413 30314.23 13
14764 30387.14 12
415 30436.55 12
416 30496.56 10
417 30577.3 10
15185 30632.9 10
16110 30678.68 10
420 30762.36 8
421 30821.36 8
16088 30843.82 8
423 30881.55 8
15364 30990.97 7
425 31064.45 7
15384 31132.48 7
427 31230.8 7
428 31299.83 8
429 31337.37 8
430 31358.73 8
431 31473.41 8
4727 31594.8 10
432 31701.96 9
15279 31753.42 9
16049 31779.82 9
435 31845.86 9
436 31901.22 8
437 32002.01 8
14647 32085.85 8
439 32154.87 8
440 32234.72 9
12754 32284.91 10
442 32446.25 9
443 32614.78 11
445 32955.27 10
446 33111.06 8
18122 33246.8 8
448 33349.23 1
1119 33433.68 1
1120 33480.68 0
1121 33520.92 0
3953 33558.71 0
3954 33579.17 0
8613 33753.35 0
     }
- - - - - -
15 {
386 29276.4 2
388 29357.54 3
389 29409.08 4
390 29456.66 5
391 29472.81 5
14956 29536.86 8
393 29609.8 9
394 29634.47 9
395 29661.81 9
396 29686.77 9
397 29737.5 11
17169 29809.19 10
17162 29850.3 11
14959 29922.82 12
402 30001.94 12
403 30044.0 12
17163 30094.73 12
15848 30161.94 13
406 30203.43 12
14500 30281.6 12
15852 30347.64 12
409 30385.72 13
18047 30515.61 14
17841 30584.18 16
412 30638.73 16
413 30696.08 16
14764 30732.41 16
415 30785.64 16
416 30832.16 14
417 30896.43 14
15185 31000.05 16
16110 31078.5 16
420 31136.51 15
421 31179.05 15
16088 31204.96 15
423 31250.04 15
15364 31435.61 10
425 31521.59 10
15384 31596.8 12
427 31665.56 13
