 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec 
911214020 {
409 26409.7 26417.8 10 1 1 0 0
18047 26496.5 26504.6 11 1 0 0 0
17841 26554.4 26554.4 11 0 0 0 0
412 26618.2 26618.2 11 0 0 0 0
413 26653.8 26653.8 11 0 0 0 0
14764 26711.3 26718.7 9 0 2 0 0
415 26763.4 26763.4 9 0 0 0 0
416 26788.2 26794.4 8 0 1 0 0
417 26852.9 26852.9 8 0 0 0 0
15185 26906.9 26906.9 8 0 0 0 0
16110 26964.1 26964.1 8 0 0 0 0
420 27010.6 27018.7 8 1 1 0 0
421 27035.3 27035.3 8 0 0 0 0
16088 27061.7 27061.7 8 0 0 0 0
423 27090.2 27090.2 8 0 0 0 0
15364 27194.1 27208.4 9 3 2 0 0
425 27276.4 27276.4 9 0 0 0 0
15384 27324.8 27332.9 10 1 0 0 0
427 27372.5 27372.5 10 0 0 0 0
428 27422.6 27428.8 9 0 1 0 0
429 27480.8 27480.8 9 0 0 0 0
430 27520.1 27528.2 10 1 0 0 0
431 27573.3 27581.4 11 1 0 0 0
4727 27635.6 27635.6 11 0 0 0 0
432 27687.9 27696.0 11 1 1 0 0
15279 27793.7 27793.7 11 0 0 0 0
16049 27823.4 27823.4 11 0 0 0 0
435 27862.9 27871.0 12 1 0 0 0
436 27933.1 27944.3 13 2 1 0 0
437 28015.9 28015.9 13 0 0 0 0
14647 28090.1 28090.1 13 0 0 0 0
439 28127.9 28139.1 15 2 0 0 0
440 28214.3 28225.5 16 2 1 0 0
12754 28263.3 28263.3 16 0 0 0 0
442 28332.9 28339.1 15 0 1 0 0
443 28437.5 28454.9 17 4 2 0 0
445 28627.3 28634.7 15 0 2 0 0
446 28706.8 28715.4 13 1 3 0 0
18122 28787.3 28795.4 12 1 2 0 0
     }
- - - - - -
911377020 {
17163 26416.8 26424.9 7 1 0 0 0
15848 26470.7 26470.7 7 0 0 0 0
406 26507.7 26515.8 8 1 0 0 0
14500 26566.7 26606.7 9 1 0 0 40
15852 26664.0 26664.0 9 0 0 0 0
409 26689.4 26695.6 8 0 1 0 0
18047 26768.2 26768.2 8 0 0 0 0
17841 26804.1 26804.1 8 0 0 0 0
412 26863.5 26863.5 8 0 0 0 0
413 26897.3 26937.3 8 0 0 0 40
14764 26976.2 26982.4 7 0 1 0 0
415 27023.9 27023.9 7 0 0 0 0
416 27079.1 27085.3 6 0 1 0 0
417 27148.7 27148.7 6 0 0 0 0
15185 27179.3 27179.3 6 0 0 0 0
16110 27225.6 27265.6 7 1 0 0 40
420 27309.1 27315.3 6 0 1 0 0
421 27331.8 27331.8 6 0 0 0 0
16088 27351.5 27351.5 6 0 0 0 0
423 27380.7 27380.7 6 0 0 0 0
15364 27516.6 27537.1 10 5 1 0 0
425 27606.6 27646.6 11 1 0 0 40
15384 27678.6 27686.7 12 1 0 0 0
427 27735.4 27735.4 12 0 0 0 0
428 27780.3 27791.5 13 2 1 0 0
429 27835.1 27835.1 13 0 0 0 0
430 27872.1 27872.1 13 0 0 0 0
431 27908.1 27948.1 13 0 0 0 40
4727 27989.6 27997.7 14 1 0 0 0
432 28097.1 28105.2 13 1 2 0 0
15279 28194.1 28205.3 15 2 0 0 0
16049 28232.8 28244.0 17 2 0 0 0
435 28286.3 28286.3 17 0 0 0 0
436 28358.2 28372.5 19 3 1 0 0
437 28439.1 28453.4 22 3 0 0 0
14647 28533.6 28533.6 22 0 0 0 0
439 28580.7 28591.9 24 2 0 0 0
440 28641.4 28648.8 22 0 2 0 0
12754 28686.1 28686.1 22 0 0 0 0
442 28740.5 28748.6 22 1 1 0 0
443 28836.6 28860.2 26 6 2 0 0
     }
- - - - - -
911283020 {
396 26417.5 26417.5 9 0 0 0 0
397 26465.5 26473.6 9 1 1 0 0
17169 26515.2 26515.2 9 0 0 0 0
17162 26587.5 26587.5 9 0 0 0 0
14959 26687.6 26695.7 9 1 1 0 0
402 26727.9 26727.9 9 0 0 0 0
403 26764.9 26764.9 9 0 0 0 0
