 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count 
911214020 {
409 26417.7 26423.9 7 0 1 0
18047 26504.8 26504.8 7 0 0 0
17841 26541.2 26552.4 9 2 0 0
412 26606.3 26606.3 9 0 0 0
413 26636.9 26636.9 9 0 0 0
14764 26673.0 26681.1 8 1 2 0
415 26727.2 26727.2 8 0 0 0
416 26757.1 26763.3 7 0 1 0
417 26814.1 26814.1 7 0 0 0
15185 26856.5 26856.5 7 0 0 0
16110 26916.2 26916.2 7 0 0 0
420 26996.8 27004.9 8 1 0 0
421 27035.7 27043.8 9 1 0 0
16088 27061.4 27069.5 10 1 0 0
423 27106.9 27106.9 10 0 0 0
15364 27222.3 27233.5 10 2 2 0
425 27306.5 27314.6 11 1 0 0
15384 27362.0 27373.2 13 2 0 0
427 27415.8 27415.8 13 0 0 0
428 27470.6 27476.8 12 0 1 0
429 27519.4 27519.4 12 0 0 0
430 27560.9 27569.0 13 1 0 0
431 27629.9 27638.0 14 1 0 0
4727 27690.3 27701.5 16 2 0 0
432 27789.9 27798.0 15 1 2 0
15279 27878.1 27878.1 15 0 0 0
16049 27906.4 27914.5 16 1 0 0
435 27960.1 27968.2 17 1 0 0
436 28028.4 28039.6 18 2 1 0
437 28095.0 28095.0 18 0 0 0
14647 28171.6 28171.6 18 0 0 0
439 28216.1 28216.1 18 0 0 0
440 28295.8 28307.0 18 2 2 0
12754 28353.1 28353.1 18 0 0 0
442 28424.0 28432.1 18 1 1 0
443 28540.3 28551.5 18 2 2 0
445 28719.2 28726.6 16 0 2 0
446 28797.2 28805.8 13 0 3 0
     }
- - - - - -
911377020 {
15848 26455.8 26455.8 3 0 0 0
406 26485.8 26485.8 3 0 0 0
14500 26544.6 26552.7 4 1 0 0
15852 26619.3 26619.3 4 0 0 0
409 26645.2 26645.2 4 0 0 0
18047 26704.0 26712.1 5 1 0 0
17841 26750.1 26750.1 5 0 0 0
412 26797.9 26797.9 5 0 0 0
413 26826.7 26826.7 5 0 0 0
14764 26867.4 26875.5 5 1 1 0
415 26918.2 26918.2 5 0 0 0
416 26947.4 26953.6 4 0 1 0
417 27018.6 27018.6 4 0 0 0
15185 27049.8 27049.8 4 0 0 0
16110 27098.0 27106.1 5 1 0 0
420 27164.7 27170.9 4 0 1 0
421 27193.6 27193.6 4 0 0 0
16088 27220.3 27220.3 4 0 0 0
423 27252.4 27260.5 5 1 0 0
15364 27359.3 27367.4 5 1 1 0
425 27452.5 27452.5 5 0 0 0
15384 27487.0 27487.0 5 0 0 0
