stop,wait_time_sec,stop_lat,stop_lon,stop_sequence
386,0.0,41.880313,-87.774043,0
388,4.1,41.88000915,-87.7714723,1
389,1.6,41.88008776,-87.76992191,2
390,1.3,41.88010476,-87.76821491,3
391,1.8,41.88014676,-87.76661691,4
14956,7.5,41.88014099,-87.76461188,5
393,0.6,41.88018349,-87.7632177,6
394,2.6,41.88020276,-87.76191891,7
395,2.2,41.88019981,-87.75996715,8
396,3.1,41.88025187,-87.75778965,9
397,3.2,41.88027,-87.75526,10
17169,3.1,41.88029685,-87.75221539,11
17162,4.4,41.88033514,-87.7491367,12
14959,4.4,41.88039237,-87.74496781,13
402,2.2,41.880443,-87.742998,14
403,0.0,41.880475,-87.740705,15
17163,3.2,41.88048501,-87.73768052,16
15848,3.5,41.88050398,-87.7352163,17
406,6.0,41.88053063,-87.7331241,18
14500,4.8,41.88056848,-87.7304601,19
15852,1.2,41.88059058,-87.72786002,20
409,6.8,41.88061422,-87.72582347,21
18047,2.1,41.88070328,-87.72286077,22
17841,3.7,41.88074353,-87.72045859,23
412,1.4,41.8808072,-87.7159745,24
413,0.3,41.88081388,-87.71381964,25
14764,7.8,41.88084064,-87.71073049,26
415,0.3,41.880887,-87.708722,27
416,7.2,41.880902,-87.706333,28
417,1.1,41.880952,-87.703147,29
15185,0.5,41.88095403,-87.70088084,30
16110,1.5,41.88099888,-87.69856203,31
420,7.1,41.88100858,-87.69600765,32
421,2.0,41.88103245,-87.694048,33
16088,3.5,41.88103301,-87.69229365,34
423,3.6,41.88106252,-87.68897646,35
15364,11.8,41.88109893,-87.68607651,36
425,4.7,41.88112797,-87.68410996,37
15384,6.5,41.88117403,-87.68122249,38
427,4.5,41.881232,-87.679293,39
428,5.8,41.881262,-87.67685,40
429,1.8,41.88129674,-87.67424663,41
430,2.4,41.8813284,-87.67186305,42
431,1.0,41.88137,-87.669513,43
4727,5.1,41.881385,-87.668503,44
432,8.7,41.88139461,-87.66699977,45
15279,2.1,41.88143358,-87.66418871,46
16049,5.3,41.88146881,-87.66201484,47
435,6.0,41.881525,-87.659765,48
436,9.4,41.881545,-87.657333,49
437,5.8,41.881608,-87.654897,50
14647,3.1,41.88165169,-87.65191235,51
439,0.6,41.88167775,-87.64983775,52
440,8.3,41.882,-87.64728,53
12754,1.2,41.8830708,-87.64669495,54
442,6.9,41.88311,-87.642848,55
443,12.2,41.883084,-87.639976,56
445,7.4,41.883128,-87.635516,57
446,8.6,41.883137,-87.632625,58
