 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count 
911214020 {
409 26401.4 26409.5 8 1 1 0
18047 26477.7 26477.7 8 0 0 0
17841 26515.8 26523.9 9 1 0 0
412 26570.5 26581.7 11 2 0 0
413 26612.3 26612.3 11 0 0 0
14764 26666.1 26677.3 11 2 2 0
415 26730.0 26736.2 10 0 1 0
416 26764.8 26772.9 9 1 2 0
417 26830.4 26830.4 9 0 0 0
15185 26871.1 26871.1 9 0 0 0
16110 26936.9 26936.9 9 0 0 0
420 26974.7 26974.7 9 0 0 0
421 27002.8 27002.8 9 0 0 0
16088 27026.6 27026.6 9 0 0 0
423 27062.9 27071.0 10 1 0 0
15364 27189.9 27198.0 9 1 2 0
425 27246.1 27254.2 10 1 0 0
15384 27275.6 27283.7 11 1 0 0
427 27349.1 27349.1 11 0 0 0
428 27397.0 27403.2 10 0 1 0
429 27471.7 27471.7 10 0 0 0
430 27507.4 27507.4 10 0 0 0
431 27581.8 27581.8 10 0 0 0
4727 27633.6 27633.6 10 0 0 0
432 27712.1 27718.3 9 0 1 0
15279 27802.0 27802.0 9 0 0 0
16049 27833.6 27833.6 9 0 0 0
435 27883.5 27894.7 11 2 0 0
436 27945.3 27953.4 12 1 0 0
437 27997.5 28005.6 13 1 0 0
14647 28078.5 28078.5 13 0 0 0
439 28145.2 28153.3 14 1 0 0
440 28212.2 28229.6 17 4 1 0
12754 28285.0 28293.1 18 1 0 0
442 28333.5 28339.7 17 0 1 0
443 28458.8 28466.2 15 0 2 0
445 28633.0 28640.4 13 0 2 0
446 28728.0 28735.4 11 0 2 0
18122 28834.4 28842.5 11 1 1 0
448 28941.8 28955.2 5 1 7 0
1119 29151.1 29157.3 4 0 1 0
1120 29221.9 29221.9 4 0 0 0
1121 29263.8 29263.8 4 0 0 0
3953 29314.7 29320.9 3 0 1 0
3954 29367.5 29367.5 3 0 0 0
8613 29597.4 29597.4 0 0 3 0
     }
- - - - - -
911377020 {
402 26402.0 26402.0 5 0 0 0
403 26433.5 26441.6 6 1 0 0
17163 26482.5 26482.5 6 0 0 0
15848 26558.4 26572.7 9 3 0 0
406 26606.3 26614.4 10 1 0 0
14500 26650.5 26656.7 9 0 1 0
15852 26719.7 26719.7 9 0 0 0
409 26751.7 26757.9 8 0 1 0
18047 26845.3 26845.3 8 0 0 0
17841 26886.1 26897.3 10 2 0 0
412 26951.2 26951.2 10 0 0 0
413 26973.5 26973.5 10 0 0 0
14764 27012.3 27020.4 9 1 2 0
415 27063.5 27063.5 9 0 0 0
416 27117.0 27125.1 8 1 2 0
417 27187.6 27187.6 8 0 0 0
15185 27224.5 27224.5 8 0 0 0
16110 27272.7 27272.7 8 0 0 0
420 27308.5 27314.7 7 0 1 0
421 27334.1 27334.1 7 0 0 0
16088 27360.8 27360.8 7 0 0 0
423 27388.0 27388.0 7 0 0 0
15364 27528.4 27535.8 5 0 2 0
425 27610.2 27610.2 5 0 0 0
15384 27668.1 27676.2 6 1 0 0
427 27709.8 27709.8 6 0 0 0
428 27759.4 27759.4 6 0 0 0
429 27814.3 27814.3 6 0 0 0
430 27847.4 27847.4 6 0 0 0
431 27908.5 27908.5 6 0 0 0
4727 27989.7 27997.8 7 1 0 0
432 28081.3 28087.5 6 0 1 0
