 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec 
911214020 {
14500 26420.9 26420.9 4 0 0 0 0
15852 26490.6 26490.6 4 0 0 0 0
409 26524.6 26524.6 4 0 0 0 0
18047 26588.5 26588.5 4 0 0 0 0
17841 26621.3 26621.3 4 0 0 0 0
412 26668.0 26668.0 4 0 0 0 0
413 26694.5 26694.5 4 0 0 0 0
14764 26738.3 26744.5 3 0 1 0 0
415 26784.5 26784.5 3 0 0 0 0
416 26809.9 26816.1 2 0 1 0 0
417 26890.7 26890.7 2 0 0 0 0
15185 26932.1 26940.2 3 1 0 0 0
16110 27016.3 27016.3 3 0 0 0 0
420 27082.9 27082.9 3 0 0 0 0
421 27100.8 27100.8 3 0 0 0 0
16088 27133.0 27133.0 3 0 0 0 0
423 27162.5 27162.5 3 0 0 0 0
15364 27283.4 27297.7 5 3 1 0 0
425 27341.6 27341.6 5 0 0 0 0
15384 27382.9 27382.9 5 0 0 0 0
427 27412.4 27420.5 6 1 0 0 0
428 27476.2 27487.4 8 2 0 0 0
429 27517.6 27517.6 8 0 0 0 0
430 27547.0 27547.0 8 0 0 0 0
431 27601.1 27601.1 8 0 0 0 0
4727 27651.9 27651.9 8 0 0 0 0
432 27701.0 27707.2 7 0 1 0 0
15279 27799.7 27799.7 7 0 0 0 0
16049 27829.8 27837.9 8 1 0 0 0
435 27879.9 27888.0 9 1 0 0 0
436 27940.6 27951.8 11 2 0 0 0
437 28019.4 28019.4 11 0 0 0 0
14647 28088.1 28088.1 11 0 0 0 0
439 28147.9 28156.0 12 1 0 0 0
440 28230.9 28242.1 13 2 1 0 0
12754 28301.1 28301.1 13 0 0 0 0
442 28395.4 28401.6 12 0 1 0 0
443 28505.3 28513.4 12 1 1 0 0
445 28674.6 28682.0 10 0 2 0 0
446 28783.5 28790.9 8 0 2 0 0
18122 28867.7 28873.9 7 0 1 0 0
448 28954.8 28964.6 4 1 4 0 0
