 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec,  skip 
911214020 {
15852 26409.3 26409.3 9 0 0 0 0 0
409 26444.5 26452.6 9 1 1 0 0 0
18047 26539.1 26539.1 9 0 0 0 0 0
17841 26575.9 26575.9 9 0 0 0 0 0
412 26624.1 26624.1 9 0 0 0 0 0
413 26659.3 26659.3 9 0 0 0 0 0
14764 26704.8 26712.9 8 1 2 0 0 0
415 26760.3 26760.3 8 0 0 0 0 0
416 26790.1 26796.3 7 0 1 0 0 0
417 26843.6 26843.6 7 0 0 0 0 0
15185 26883.6 26883.6 7 0 0 0 0 0
16110 26945.3 26945.3 7 0 0 0 0 0
420 27016.1 27030.4 9 3 1 0 0 0
421 27052.2 27052.2 9 0 0 0 0 0
16088 27080.1 27080.1 9 0 0 0 0 0
423 27118.5 27118.5 9 0 0 0 0 0
15364 27236.7 27247.9 9 2 2 0 0 0
425 27324.4 27324.4 9 0 0 0 0 0
15384 27352.6 27352.6 9 0 0 0 0 0
427 27390.4 27398.5 10 1 0 0 0 0
428 27465.5 27476.7 11 2 1 0 0 0
429 27530.3 27538.4 12 1 0 0 0 0
430 27565.3 27565.3 12 0 0 0 0 0
431 27608.6 27608.6 12 0 0 0 0 0
4727 27664.4 27664.4 12 0 0 0 0 0
432 27730.6 27736.8 11 0 1 0 0 0
15279 27819.3 27819.3 11 0 0 0 0 0
16049 27861.8 27869.9 12 1 0 0 0 0
435 27910.8 27910.8 12 0 0 0 0 0
436 27970.3 27981.5 13 2 1 0 0 0
437 28036.0 28036.0 13 0 0 0 0 0
14647 28117.1 28125.2 14 1 0 0 0 0
439 28179.7 28179.7 14 0 0 0 0 0
440 28282.3 28288.5 13 0 1 0 0 0
12754 28334.8 28342.9 14 1 0 0 0 0
442 28402.2 28410.3 14 1 1 0 0 0
443 28491.2 28499.3 13 1 2 0 0 0
445 28634.5 28641.9 11 0 2 0 0 0
446 28744.7 28752.1 9 0 2 0 0 0
18122 28853.2 28859.4 8 0 1 0 0 0
     }
- - - - - -
911377020 {
14959 26416.1 26446.1 12 1 1 0 30 0
402 26485.3 26493.4 13 1 0 0 0 0
403 26522.0 26522.0 13 0 0 0 0 0
17163 26560.0 26560.0 13 0 0 0 0 0
15848 26632.2 26643.4 15 2 0 0 0 0
406 26680.7 26691.9 17 2 0 0 0 0
14500 26734.4 26740.6 16 0 1 0 0 0
15852 26787.4 26787.4 16 0 0 0 0 0
409 26820.8 26828.2 14 0 2 0 0 0
18047 26909.0 26909.0 14 0 0 0 0 0
17841 26939.2 26939.2 14 0 0 0 0 0
412 26993.8 26993.8 14 0 0 0 0 0
413 27025.0 27055.0 14 0 0 0 30 0
14764 27114.1 27125.3 14 2 2 0 0 0
415 27170.6 27170.6 14 0 0 0 0 0
416 27224.4 27233.0 11 0 3 0 0 0
417 27301.6 27301.6 11 0 0 0 0 0
15185 27329.8 27329.8 11 0 0 0 0 0
16110 27374.3 27374.3 11 0 0 0 0 0
420 27431.4 27439.5 11 1 1 0 0 0
421 27471.4 27479.5 12 1 0 0 0 0
16088 27501.4 27501.4 12 0 0 0 0 0
423 27530.3 27530.3 12 0 0 0 0 0
15364 27677.7 27692.0 12 3 3 0 0 0
425 27791.1 27799.2 13 1 0 0 0 0
15384 27838.4 27846.5 13 1 1 0 0 0
427 27889.0 27897.1 14 1 0 0 0 0
428 27945.1 27953.2 14 1 1 0 0 0
429 28011.8 28011.8 14 0 0 0 0 0
430 28055.9 28055.9 14 0 0 0 0 0
431 28099.8 28099.8 14 0 0 0 0 1
4727 28147.0 28158.2 16 2 0 0 0 0
432 28242.1 28259.5 18 4 2 0 0 0
15279 28351.5 28359.6 19 1 0 0 0 0
16049 28392.0 28400.1 20 1 0 0 0 0
435 28451.3 28462.5 21 2 1 0 0 0
436 28541.4 28552.6 22 2 1 0 0 0
437 28609.3 28620.5 24 2 0 0 0 0
14647 28688.1 28699.3 26 2 0 0 0 0
439 28734.9 28749.2 29 3 0 0 0 0
440 28828.9 28843.2 30 3 2 0 0 0
     }
- - - - - -
911283020 {
396 26421.2 26421.2 5 0 0 0 0 0
397 26475.3 26486.5 7 2 0 0 0 0
17169 26545.5 26545.5 7 0 0 0 0 0
17162 26622.8 26622.8 7 0 0 0 0 0
14959 26706.2 26712.4 6 0 1 0 0 1
402 26749.4 26749.4 6 0 0 0 0 0
403 26775.9 26784.0 7 1 0 0 0 0
17163 26822.3 26822.3 7 0 0 0 0 0
15848 26864.4 26872.5 8 1 0 0 0 0
406 26916.5 26927.7 10 2 0 0 0 0
14500 26965.9 26995.9 12 2 0 0 30 0
15852 27069.4 27069.4 12 0 0 0 0 0
409 27109.3 27115.5 11 0 1 0 0 0
18047 27212.7 27212.7 11 0 0 0 0 0
17841 27279.2 27287.3 12 1 0 0 0 0
412 27345.0 27345.0 12 0 0 0 0 0
413 27390.3 27390.3 12 0 0 0 0 1
14764 27455.8 27463.2 10 0 2 0 0 0
415 27520.1 27520.1 10 0 0 0 0 0
416 27575.9 27583.3 8 0 2 0 0 0
417 27653.9 27653.9 8 0 0 0 0 0
15185 27688.9 27697.0 9 1 0 0 0 0
16110 27760.8 27760.8 9 0 0 0 0 1
420 27811.4 27822.6 10 2 1 0 0 0
421 27841.0 27849.1 11 1 0 0 0 0
16088 27872.0 27880.1 12 1 0 0 0 0
423 27923.4 27923.4 12 0 0 0 0 0
15364 28049.4 28058.0 10 1 3 0 0 0
425 28113.3 28113.3 10 0 0 0 0 0
15384 28155.4 28166.6 12 2 0 0 0 0
427 28199.2 28207.3 13 1 0 0 0 0
428 28274.8 28281.0 12 0 1 0 0 0
429 28337.1 28337.1 12 0 0 0 0 0
430 28377.5 28377.5 12 0 0 0 0 0
431 28420.4 28428.5 13 1 0 0 0 0
4727 28492.5 28492.5 13 0 0 0 0 0
432 28570.8 28578.9 13 1 1 0 0 0
15279 28664.5 28672.6 14 1 0 0 0 0
16049 28694.4 28702.5 15 1 0 0 0 0
435 28737.2 28754.6 19 4 0 0 0 0
436 28823.2 28834.4 21 2 0 0 0 0
     }
- - - - - -
910985020 {
14956 26448.5 26448.5 0 0 0 0 0 0
393 26493.8 26493.8 0 0 0 0 0 0
394 26513.0 26513.0 0 0 0 0 0 0
395 26550.6 26580.6 0 0 0 0 30 0
396 26617.9 26617.9 0 0 0 0 0 0
397 26660.6 26660.6 0 0 0 0 0 0
17169 26725.5 26725.5 0 0 0 0 0 0
17162 26783.8 26791.9 1 1 0 0 0 0
14959 26873.5 26903.5 1 0 0 0 30 0
402 26941.4 26949.5 2 1 0 0 0 0
403 26980.0 26980.0 2 0 0 0 0 0
17163 27021.5 27021.5 2 0 0 0 0 0
15848 27081.1 27089.2 3 1 0 0 0 0
406 27129.8 27129.8 3 0 0 0 0 0
14500 27178.5 27208.5 4 1 0 0 30 0
15852 27288.6 27296.7 5 1 0 0 0 0
409 27330.5 27338.6 5 1 1 0 0 0
18047 27431.9 27440.0 6 1 0 0 0 0
17841 27490.8 27490.8 6 0 0 0 0 0
412 27540.4 27540.4 6 0 0 0 0 0
