stop,wait_time_sec,stop_lat,stop_lon,stop_sequence
386,132.6978260869565,41.880313,-87.774043,0
388,135.9382352941176,41.88000915,-87.7714723,1
389,141.45000000000041,41.88008776,-87.76992191,2
390,143.79999999999987,41.88010476,-87.76821491,3
391,139.13999999999987,41.88014676,-87.76661691,4
14956,138.56034482758628,41.88014099,-87.76461188,5
393,127.94999999999992,41.88018349,-87.7632177,6
394,129.1666666666666,41.88020276,-87.76191891,7
395,124.21499999999996,41.88019981,-87.75996715,8
396,133.2000000000001,41.88025187,-87.75778965,9
397,140.94838709677418,41.88027,-87.75526,10
17169,127.63888888888879,41.88029685,-87.75221539,11
17162,134.47307692307683,41.88033514,-87.7491367,12
14959,140.60384615384584,41.88039237,-87.74496781,13
402,113.0099999999995,41.880443,-87.742998,14
403,115.70000000000073,41.880475,-87.740705,15
17163,141.61578947368434,41.88048501,-87.73768052,16
15848,126.61296296296294,41.88050398,-87.7352163,17
406,132.2964285714282,41.88053063,-87.7331241,18
14500,140.34625,41.88056848,-87.7304601,19
15852,157.87999999999957,41.88059058,-87.72786002,20
409,148.0785714285715,41.88061422,-87.72582347,21
18047,139.25357142857138,41.88070328,-87.72286077,22
17841,157.06052631578956,41.88074353,-87.72045859,23
412,177.47083333333316,41.8808072,-87.7159745,24
413,202.07499999999982,41.88081388,-87.71381964,25
14764,160.67500000000018,41.88084064,-87.71073049,26
415,172.98333333333235,41.880887,-87.708722,27
416,149.87499999999991,41.880902,-87.706333,28
417,126.25999999999985,41.880952,-87.703147,29
15185,0.0,41.88095403,-87.70088084,30
16110,185.6800000000003,41.88099888,-87.69856203,31
420,144.4694444444443,41.88100858,-87.69600765,32
421,165.24999999999963,41.88103245,-87.694048,33
16088,131.48214285714246,41.88103301,-87.69229365,34
423,145.1818181818182,41.88106252,-87.68897646,35
15364,148.68333333333337,41.88109893,-87.68607651,36
425,145.22999999999993,41.88112797,-87.68410996,37
15384,146.0477272727271,41.88117403,-87.68122249,38
427,170.03166666666675,41.881232,-87.679293,39
428,172.4700000000002,41.881262,-87.67685,40
429,125.69999999999952,41.88129674,-87.67424663,41
430,155.57499999999982,41.8813284,-87.67186305,42
431,193.14000000000016,41.88137,-87.669513,43
4727,178.0,41.881385,-87.668503,44
432,167.03333333333333,41.88139461,-87.66699977,45
15279,176.8499999999999,41.88143358,-87.66418871,46
16049,174.71428571428623,41.88146881,-87.66201484,47
435,169.22916666666637,41.881525,-87.659765,48
436,169.31999999999934,41.881545,-87.657333,49
437,199.91250000000082,41.881608,-87.654897,50
14647,0.0,41.88165169,-87.65191235,51
439,138.20000000000073,41.88167775,-87.64983775,52
