parameter,prc_cancel,NC53,NC80,DS+MRH53,DS+MRH80,DSX+MRH53,DSX+MRH80
cv_h,12,0.6353142296867635,0.6455316064732485,0.4825795856106638,0.48567285885780237,0.46659056863176396,0.4678907594909512
cv_h,25,0.7585903352197908,0.8136024780234289,0.5605317715603574,0.5703651723719361,0.5662774012883386,0.5598390562071839
wt,12,4.410861179465347,4.352092946002787,3.740850659833799,3.6712413881744403,3.667786106943176,3.7891034677849955
wt,25,6.3475029187374155,6.211394042727288,5.08721876095135,4.796748023093688,5.235302077083615,4.912687591211935
rbt,12,9.092081109987504,9.085796735350646,7.173658879805626,6.868992022915291,7.040866425464786,7.171299018796385
rbt,25,14.583704233238391,14.117581890882725,10.566865293640074,10.355099756526544,11.221716429192876,10.553065589773784
95load,12,53.0,61.0,53.0,61.0,52.14999999999998,55.0
95load,25,53.0,76.0,53.0,68.0,53.0,67.19999999999999
50load,12,25.0,23.0,25.0,25.0,26.0,25.0
50load,25,31.0,26.0,32.0,31.0,31.0,29.5
95runt7,12,77.26833333333332,78.32333333333332,77.51916666666666,78.86833333333333,79.3,78.1375
95runt7,25,78.02083333333333,79.60916666666667,79.23583333333333,80.00833333333333,79.40416666666667,78.9975
denied,12,26.78777869529315,1.2579032738587839,21.252210360861877,0.523149359142035,9.83735571878279,0.39615727443795185
denied,25,78.9249426417568,19.208630727230865,42.4735771023436,6.775464998859897,40.75028069480219,5.963756177924218
