trip_id,date,ons,offs,proportion,schd_dep,peak_load
911900030,2019-09-03,26,18,1,5:05:00,24
911900030,2019-09-04,28,33,1,5:05:00,27
911900030,2019-09-05,38,25,2,5:05:00,23
911900030,2019-09-06,30,23,1,5:05:00,30
911285020,2019-09-03,38,26,1,5:22:00,28
911285020,2019-09-04,47,32,1,5:22:00,26
911285020,2019-09-05,27,21,1,5:22:00,16
911285020,2019-09-06,0,13,0,5:22:00,0
911000030,2019-09-03,28,34,1,5:37:00,24
911000030,2019-09-04,30,18,2,5:37:00,31
911000030,2019-09-05,36,27,1,5:37:00,18
911000030,2019-09-06,21,12,2,5:37:00,17
911240020,2019-09-03,42,29,1,5:50:00,27
911240020,2019-09-04,61,62,1,5:50:00,33
911240020,2019-09-05,35,33,1,5:50:00,19
911240020,2019-09-06,18,12,2,5:50:00,18
911381020,2019-09-03,54,45,1,6:00:00,33
911381020,2019-09-04,24,16,2,6:00:00,21
911381020,2019-09-05,54,49,1,6:00:00,28
911381020,2019-09-06,67,61,1,6:00:00,42
911316020,2019-09-03,59,39,2,6:10:00,36
911316020,2019-09-04,54,32,2,6:10:00,32
911316020,2019-09-05,10,14,1,6:10:00,5
911316020,2019-09-06,20,8,2,6:10:00,20
911411030,2019-09-03,17,16,1,6:19:30,21
911411030,2019-09-04,56,46,1,6:19:30,43
911411030,2019-09-05,43,21,2,6:20:06,30
911411030,2019-09-06,64,55,1,6:19:30,51
910504020,2019-09-03,48,58,1,6:28:30,25
910504020,2019-09-04,54,49,1,6:28:30,24
910504020,2019-09-05,83,36,2,6:28:30,52
910504020,2019-09-06,21,26,1,6:28:30,14
911263020,2019-09-04,87,52,2,6:35:30,43
911878020,2019-09-03,104,83,1,6:42:00,59
911878020,2019-09-04,88,43,2,6:42:00,31
911878020,2019-09-05,90,70,1,6:42:00,58
911878020,2019-09-06,48,34,1,6:42:00,22
911364020,2019-09-03,32,41,1,6:48:00,47
911364020,2019-09-04,55,55,1,6:48:00,35
911364020,2019-09-05,60,48,1,6:48:00,27
911364020,2019-09-06,77,54,1,6:48:00,46
911903030,2019-09-03,45,79,1,7:02:30,55
911903030,2019-09-04,105,88,1,6:54:00,59
911903030,2019-09-05,80,44,2,6:54:00,65
911903030,2019-09-06,74,51,1,6:54:00,64
911853020,2019-09-03,72,28,3,6:59:00,49
911853020,2019-09-05,76,58,1,6:59:00,35
911853020,2019-09-06,73,83,1,6:59:00,50
911214020,2019-09-03,103,55,2,7:04:00,82
911214020,2019-09-04,104,88,1,7:04:00,58
911214020,2019-09-05,60,43,1,7:04:00,43
911214020,2019-09-06,96,79,1,7:04:00,40
911377020,2019-09-04,120,73,2,7:08:30,80
911377020,2019-09-05,141,119,1,7:08:30,59
911377020,2019-09-06,38,26,1,7:08:30,14
911283020,2019-09-03,106,98,1,7:13:00,55
911283020,2019-09-04,76,60,1,7:13:00,39
911283020,2019-09-05,53,48,1,7:13:00,33
911283020,2019-09-06,1,30,0,7:13:00,0
910985020,2019-09-03,65,93,1,7:17:00,56
910985020,2019-09-04,76,96,1,7:17:00,36
910985020,2019-09-05,64,89,1,7:17:00,38
911298020,2019-09-03,82,99,1,7:21:00,69
911298020,2019-09-04,66,52,1,7:27:37,53
911298020,2019-09-05,55,61,1,7:21:00,35
911298020,2019-09-06,88,76,1,7:21:00,52
910955020,2019-09-03,88,57,2,7:25:00,58
910955020,2019-09-04,120,108,1,7:25:00,72
910955020,2019-09-05,58,59,1,7:25:00,48
910955020,2019-09-06,33,29,1,7:25:00,20
911004030,2019-09-04,78,71,1,7:29:30,68
911004030,2019-09-05,30,36,1,7:29:30,39
911004030,2019-09-06,44,46,1,7:29:30,32
911457020,2019-09-03,26,36,1,7:34:00,34
911457020,2019-09-04,59,33,2,7:34:00,50
911457020,2019-09-05,81,90,1,7:34:00,45
911457020,2019-09-06,54,44,1,7:34:00,31
910579020,2019-09-03,64,69,1,7:38:30,47
910579020,2019-09-04,67,65,1,7:38:30,32
910579020,2019-09-05,53,55,1,7:38:30,38
910579020,2019-09-06,29,21,1,7:38:30,16
911242020,2019-09-03,53,47,1,7:43:00,35
911242020,2019-09-04,24,30,1,7:43:00,18
911242020,2019-09-05,66,59,1,7:43:00,37
911242020,2019-09-06,69,67,1,7:43:00,38
910043020,2019-09-03,122,84,1,7:47:30,75
910043020,2019-09-04,60,58,1,7:47:30,40
910043020,2019-09-05,88,71,1,7:47:30,55
910043020,2019-09-06,139,104,1,7:47:30,72
911933020,2019-09-03,0,11,0,7:52:00,0
911933020,2019-09-04,57,58,1,7:52:00,38
911933020,2019-09-05,61,48,1,7:52:00,45
911933020,2019-09-06,40,41,1,7:52:00,24
911386020,2019-09-03,43,29,1,7:56:30,35
911386020,2019-09-04,93,74,1,7:56:30,56
911386020,2019-09-05,41,32,1,7:56:30,26
911386020,2019-09-06,75,72,1,7:56:30,51
911972020,2019-09-04,94,86,1,8:01:00,51
911972020,2019-09-05,98,104,1,8:01:00,55
911972020,2019-09-06,41,35,1,8:01:00,25
911318020,2019-09-03,76,63,1,8:06:00,62
911318020,2019-09-04,23,2,12,8:06:00,59
911318020,2019-09-05,26,30,1,8:06:00,11
911318020,2019-09-06,135,46,3,8:06:00,170
911953020,2019-09-03,43,36,1,8:12:00,46
911953020,2019-09-04,69,56,1,8:12:00,45
911953020,2019-09-05,88,66,1,8:12:00,58
911953020,2019-09-06,77,88,1,8:12:00,36
911414030,2019-09-03,80,56,1,8:19:00,69
911414030,2019-09-04,89,80,1,8:19:00,49
911414030,2019-09-05,56,40,1,8:19:00,34
911414030,2019-09-06,19,21,1,8:19:00,32
910506020,2019-09-03,41,32,1,8:27:30,17
910506020,2019-09-04,39,41,1,8:27:30,16
910506020,2019-09-05,92,87,1,8:27:30,66
910506020,2019-09-06,86,87,1,8:27:30,43
911267020,2019-09-04,76,74,1,8:36:00,34
911880020,2019-09-03,75,71,1,8:45:30,60
911880020,2019-09-04,98,85,1,8:45:30,41
911880020,2019-09-05,52,49,1,8:45:30,30
911880020,2019-09-06,89,88,1,8:45:30,36
911370020,2019-09-03,26,23,1,8:55:00,20
911370020,2019-09-04,40,24,2,8:55:00,21
911370020,2019-09-05,76,68,1,8:55:46,60
911370020,2019-09-06,52,50,1,8:55:00,42
