orig_pax,trip_id,arr_time,board_time,wait_time,denied
0,910043020,7:45:58,7:47:30,0:01:32,0
0,910043020,7:46:43,7:47:30,0:00:47,0
0,910043020,7:45:05,7:47:30,0:02:25,0
0,910043020,7:45:12,7:47:30,0:02:18,0
0,910043020,7:46:49,7:47:30,0:00:41,0
0,910043020,7:46:39,7:47:30,0:00:51,0
0,910043020,7:46:37,7:47:30,0:00:53,0
0,910043020,7:44:32,7:48:22,0:03:51,0
0,910043020,7:46:25,7:48:22,0:01:57,0
0,910043020,7:44:31,7:48:22,0:03:52,0
0,910043020,7:46:00,7:48:22,0:02:22,0
0,910043020,7:46:16,7:48:22,0:02:06,0
0,910043020,7:46:53,7:48:22,0:01:29,0
0,910043020,7:45:16,7:48:22,0:03:07,0
0,910043020,7:45:58,7:47:30,0:01:32,0
0,910043020,7:45:55,7:47:30,0:01:35,0
0,910043020,7:46:41,7:47:30,0:00:49,0
0,910043020,7:44:51,7:47:30,0:02:39,0
0,910043020,7:45:17,7:47:30,0:02:13,0
0,910043020,7:47:30,7:47:30,0:00:00,0
0,910043020,7:45:12,7:47:30,0:02:18,0
0,910043020,7:46:43,7:47:30,0:00:47,0
0,910043020,7:43:39,7:47:30,0:03:51,0
0,910043020,7:45:04,7:47:30,0:02:26,0
0,910043020,7:47:22,7:47:30,0:00:08,0
0,910043020,7:46:39,7:47:30,0:00:51,0
0,910043020,7:43:45,7:47:30,0:03:45,0
0,910043020,7:44:28,7:47:30,0:03:02,0
0,910043020,7:44:07,7:47:30,0:03:23,0
0,910043020,7:45:31,7:47:30,0:01:59,0
0,910043020,7:47:13,7:47:30,0:00:17,0
0,910043020,7:44:26,7:47:30,0:03:04,0
0,910043020,7:45:31,7:47:30,0:01:59,0
0,910043020,7:45:01,7:47:30,0:02:29,0
0,910043020,7:44:42,7:47:30,0:02:48,0
0,910043020,7:47:12,7:47:30,0:00:18,0
0,910043020,7:43:51,7:47:30,0:03:39,0
0,910043020,7:45:08,7:47:30,0:02:22,0
0,910043020,7:43:58,7:47:30,0:03:32,0
0,910043020,7:43:56,7:47:30,0:03:34,0
0,910043020,7:46:01,7:47:30,0:01:29,0
0,910043020,7:43:57,7:47:30,0:03:33,0
0,910043020,7:45:40,7:47:30,0:01:50,0
0,910043020,7:46:10,7:47:30,0:01:20,0
0,910043020,7:44:01,7:47:30,0:03:29,0
0,910043020,7:45:00,7:47:30,0:02:30,0
0,910043020,7:46:03,7:47:30,0:01:27,0
0,910043020,7:43:09,7:47:30,0:04:21,0
0,910043020,7:44:52,7:47:30,0:02:38,0
0,910043020,7:47:27,7:47:30,0:00:03,0
0,910043020,7:47:50,7:47:50,0:00:00,0
0,910043020,7:47:41,7:47:41,0:00:00,0
0,910043020,7:46:34,7:47:30,0:00:56,0
0,910043020,7:44:51,7:47:30,0:02:39,0
0,910043020,7:44:52,7:47:30,0:02:38,0
0,910043020,7:46:02,7:47:30,0:01:28,0
0,910043020,7:46:58,7:47:30,0:00:32,0
0,910043020,7:44:27,7:47:30,0:03:03,0
0,910043020,7:46:04,7:47:30,0:01:26,0
0,910043020,7:45:39,7:47:30,0:01:51,0
0,910043020,7:46:03,7:47:30,0:01:27,0
0,910043020,7:46:21,7:47:30,0:01:09,0
0,910043020,7:46:12,7:47:30,0:01:18,0
0,910043020,7:46:38,7:47:30,0:00:52,0
0,910043020,7:47:23,7:47:30,0:00:07,0
0,910043020,7:47:59,7:47:59,0:00:00,0
0,910043020,7:47:43,7:47:43,0:00:00,0
0,910043020,7:44:25,7:47:30,0:03:05,0
0,910043020,7:46:32,7:47:30,0:00:58,0
0,910043020,7:47:32,7:47:32,0:00:00,0
0,910043020,7:47:01,7:47:30,0:00:29,0
0,910043020,7:46:55,7:47:30,0:00:35,0
0,910043020,7:45:02,7:47:30,0:02:28,0
0,910043020,7:44:02,7:47:30,0:03:28,0
0,910043020,7:45:36,7:47:30,0:01:54,0
0,910043020,7:44:27,7:47:30,0:03:03,0
0,910043020,7:46:35,7:47:30,0:00:55,0
0,910043020,7:41:21,7:48:50,0:07:30,0
0,910043020,7:43:28,7:48:50,0:05:22,0
0,910043020,7:46:51,7:48:50,0:01:59,0
0,910043020,7:46:52,7:48:50,0:01:58,0
0,910043020,7:48:50,7:48:50,0:00:00,0
0,910043020,7:46:46,7:49:52,0:03:06,0
0,910043020,7:41:00,7:49:52,0:08:52,0
0,910043020,7:48:08,7:49:52,0:01:43,0
0,910043020,7:48:17,7:49:52,0:01:35,0
0,910043020,7:45:04,7:49:52,0:04:48,0
0,910043020,7:39:43,7:49:52,0:10:09,0
0,910043020,7:39:57,7:49:52,0:09:55,0
0,910043020,7:46:28,7:47:30,0:01:02,0
0,910043020,7:43:43,7:47:30,0:03:47,0
1,910043020,7:46:59,7:48:39,0:01:40,0
1,910043020,7:46:34,7:48:51,0:02:17,0
1,910043020,7:46:56,7:48:59,0:02:03,0
1,910043020,7:46:43,7:48:05,0:01:23,0
1,910043020,7:48:10,7:48:21,0:00:12,0
1,910043020,7:44:16,7:48:21,0:04:06,0
